sim_seconds,avg_forward_speed,trajectory_smoothness,path_length,net_displacement,displacement_efficiency,bbox_width,bbox_height,bbox_area,stable,label,side_mode,stim_current,duration_s,wall_seconds,real_time_factor,mean_left_drive,mean_right_drive,mean_total_drive,mean_abs_drive_diff,end_yaw,mean_forward_speed_log
0.098,1.878783882417969,0.3810701903631903,0.18412082047696096,0.048218781649055874,0.2618866325065583,0.0876833712682128,0.006856860127300024,0.0006012326122762529,1.0,baseline,baseline,0.0,0.1,15.449390469999344,0.006472747270786293,0.0,0.0,0.0,0.0,0.0021181274205446243,0.13364981440385482
0.098,5.665292283746909,0.3391539570067173,0.5551986438071972,0.330254962672949,0.5948410831991082,0.315520403906703,0.17163579014595598,0.05415459383169814,1.0,DNg97,bilateral,40.0,0.1,16.189198203999695,0.00617695816308519,0.5197085019399121,0.48079631096193376,1.000504812901846,0.03891219097797835,0.003284173086285591,9.72840769217153
0.098,5.8451637776746415,0.33030764010417474,0.5728260502121149,0.34533418832470136,0.6028604812871651,0.331423906609416,0.17481564392801374,0.057938083647062946,1.0,DNp103,bilateral,40.0,0.1,16.452944125001522,0.006077939561469869,0.5276468712768007,0.5276468712768007,1.0552937425536013,0.0,0.011671312153339386,10.294617112922536
0.098,5.673164541687558,0.3434749449316502,0.5559701250853807,0.3326125122715775,0.5982560883473694,0.31708779744803905,0.17152403143700212,0.05438817733776721,1.0,DNp18,bilateral,40.0,0.1,16.20034734699948,0.006172707156092017,0.500252406450923,0.500252406450923,1.000504812901846,0.0,0.013389702886343002,9.696170557001714
0.098,3.837732923827833,0.3462435758712462,0.37609782653512774,0.13859591296973298,0.3685102736343201,0.1406221818178892,0.04706613137386739,0.00661854208352064,1.0,DNp71,left,40.0,0.1,15.84458966999955,0.006311302601249556,0.2096277207720779,-0.2096277207720779,0.0,0.4192554415441558,-0.0078031825833022594,3.38500749639821
0.098,3.837732923827833,0.3462435758712462,0.37609782653512774,0.13859591296973298,0.3685102736343201,0.1406221818178892,0.04706613137386739,0.00661854208352064,1.0,DNp71,right,40.0,0.1,16.19020952599749,0.006176572319179973,-0.2096277207720779,0.2096277207720779,0.0,0.4192554415441558,-0.0078031825833022594,3.38500749639821
0.098,3.9668521925865456,0.34027130890614277,0.3887515148734815,0.14745305208085954,0.3792989774685454,0.14668617956340313,0.05637828249018639,0.008269914868831748,1.0,DNpe040,left,40.0,0.1,16.995470641999418,0.0058839206107584195,0.27092666131487714,-0.15536215243331672,0.11556450888156043,0.4262888137481939,-0.023257197812199593,3.1576098405178126
0.098,3.7684710395483396,0.38315183575887474,0.3693101618757373,0.1618965676965608,0.4383756105553211,0.16430002264678478,0.0468132282840088,0.007691414467231752,1.0,DNpe040,right,40.0,0.1,21.378711989000294,0.004677550268297345,-0.16570523312267116,0.28588998563732415,0.12018475251465302,0.45159521875999525,0.014301029033958912,3.77084374529374
0.098,3.837732923827833,0.3462435758712462,0.37609782653512774,0.13859591296973298,0.3685102736343201,0.1406221818178892,0.04706613137386739,0.00661854208352064,1.0,DNpe056,left,40.0,0.1,17.830186570001388,0.00560846627192596,0.2096277207720779,-0.2096277207720779,0.0,0.4192554415441558,-0.0078031825833022594,3.38500749639821
0.098,3.6548579726142254,0.38013702734900084,0.35817608131619416,0.13943795515575375,0.38930001870409475,0.14220917038619518,0.04128076508641243,0.0058705033558461225,1.0,DNpe056,right,40.0,0.1,16.516258232000837,0.00605464013672579,-0.15127728504176452,0.2562248718911432,0.10494758684937869,0.4075021569329077,0.005374721251428127,3.438710751680611
0.098,1.878783882417969,0.3810701903631903,0.18412082047696096,0.048218781649055874,0.2618866325065583,0.0876833712682128,0.006856860127300024,0.0006012326122762529,1.0,DNpe031,left,40.0,0.1,16.013190551999287,0.006244851684945119,0.0,0.0,0.0,0.0,0.0021181274205446243,0.13364981440385482
0.098,1.878783882417969,0.3810701903631903,0.18412082047696096,0.048218781649055874,0.2618866325065583,0.0876833712682128,0.006856860127300024,0.0006012326122762529,1.0,DNpe031,right,40.0,0.1,15.956718769997678,0.00626695258852485,0.0,0.0,0.0,0.0,0.0021181274205446243,0.13364981440385482
0.098,2.7409093290678146,0.35534938292912976,0.2686091142486458,0.07352116903222577,0.2737106268261946,0.09876505937427282,0.03521064971573651,0.003477581909781439,1.0,DNpe016,bilateral,40.0,0.1,16.335752185001184,0.006121542422259312,0.09524929505066149,0.08953118713619052,0.18478048218685203,0.008725689049650199,-0.005145913455635309,1.9055515364928806
0.098,1.878783882417969,0.3810701903631903,0.18412082047696096,0.048218781649055874,0.2618866325065583,0.0876833712682128,0.006856860127300024,0.0006012326122762529,1.0,DNae002,bilateral,40.0,0.1,15.95068357999844,0.006269323787815355,0.0,0.0,0.0,0.0,0.0021181274205446243,0.13364981440385482
