candidate_label,side_x,left_num_roots,left_total_from_relays,left_mean_from_relays,left_root_ids,left_cell_types,left_hemibrain_types,left_super_classes,left_flows,left_soma_x,left_soma_y,left_soma_z,left_pos_x,left_pos_y,left_pos_z,side_y,right_num_roots,right_total_from_relays,right_mean_from_relays,right_root_ids,right_cell_types,right_hemibrain_types,right_super_classes,right_flows,right_soma_x,right_soma_y,right_soma_z,right_pos_x,right_pos_y,right_pos_z,pair_score
cL22b,left,1,639.0,639.0,[720575940630204155],['cL22b'],['VES015'],['visual_centrifugal'],['intrinsic'],109528.0,74608.0,1799.0,109528.0,74608.0,1799.0,right,1,584.0,584.0,[720575940628154364],['cL22b'],['VES015'],['visual_centrifugal'],['intrinsic'],152808.0,74264.0,916.0,140620.0,59966.0,2628.0,1223.0
DNp09,left,1,462.0,462.0,[720575940635872101],[],['DNp09'],['descending'],['efferent'],106056.0,48904.0,5468.0,112164.0,77404.0,4098.0,right,1,704.0,704.0,[720575940627652358],[],['DNp09'],['descending'],['efferent'],158656.0,49592.0,5300.0,158656.0,49592.0,5300.0,1166.0
DNp35,left,1,269.0,269.0,[720575940628437291],['DNp35'],['PVLP136'],['descending'],['efferent'],106488.0,51472.0,5322.0,111288.0,50024.0,3537.0,right,1,348.0,348.0,[720575940623276168],['DNp35'],['PVLP136'],['descending'],['efferent'],156416.0,50800.0,4935.0,156416.0,50800.0,4935.0,617.0
DNp06,left,1,245.0,245.0,[720575940622673860],[],['DNp06'],['descending'],['efferent'],107216.0,50288.0,5411.0,105327.0,60596.0,3301.0,right,1,347.0,347.0,[720575940611644529],[],['DNp06'],['descending'],['efferent'],156616.0,52472.0,5064.0,156616.0,52472.0,5064.0,592.0
DNpe031,left,2,291.0,145.5,"[720575940627750216, 720575940634750871]",['DNpe031'],['PVLP116'],['descending'],['efferent'],102132.0,52784.0,5392.0,103926.5,54805.5,5022.5,right,2,251.0,125.5,"[720575940621554112, 720575940622843530]",['DNpe031'],['PVLP116'],['descending'],['efferent'],160544.0,58912.0,5083.5,160544.0,58912.0,5083.5,542.0
DNb01,left,1,243.0,243.0,[720575940625878160],[],['DNb01'],['descending'],['efferent'],106488.0,59896.0,2278.0,106488.0,59896.0,2278.0,right,1,276.0,276.0,[720575940630758418],[],['DNb01'],['descending'],['efferent'],154536.0,63168.0,1729.0,154536.0,63168.0,1729.0,519.0
cL22c,left,1,259.0,259.0,[720575940627068772],['cL22c'],['VES026'],['visual_centrifugal'],['intrinsic'],103104.0,59240.0,1938.0,111172.0,64981.0,2965.0,right,1,174.0,174.0,[720575940643290272],['cL22c'],['VES026'],['visual_centrifugal'],['intrinsic'],162520.0,63368.0,859.0,162520.0,63368.0,859.0,433.0
DNp71,left,1,180.0,180.0,[720575940625673196],['DNp71'],['DNp09'],['descending'],['efferent'],108408.0,49192.0,5307.0,110199.0,50048.0,3430.0,right,1,218.0,218.0,[720575940633095137],['DNp71'],['DNp09'],['descending'],['efferent'],156704.0,48680.0,4866.0,156704.0,48680.0,4866.0,398.0
DNb09,left,1,222.0,222.0,[720575940616826380],['DNb09'],['DNb01'],['descending'],['efferent'],106752.0,59560.0,2155.0,106752.0,59560.0,2155.0,right,1,149.0,149.0,[720575940648636292],['DNb09'],['DNb01'],['descending'],['efferent'],160048.0,61384.0,994.0,160048.0,61384.0,994.0,371.0
DNp103,left,1,167.0,167.0,[720575940623781127],['DNp103'],['PVLP119'],['descending'],['efferent'],107304.0,55320.0,5479.0,110817.0,53903.0,3469.0,right,1,198.0,198.0,[720575940610505006],['DNp103'],['PVLP119'],['descending'],['efferent'],160192.0,60856.0,5042.0,160192.0,60856.0,5042.0,365.0
DNp43,left,1,156.0,156.0,[720575940631122191],['DNp43'],['CL332'],['descending'],['efferent'],118280.0,50328.0,5640.0,116332.0,47706.0,3404.0,right,1,171.0,171.0,[720575940641278965],['DNp43'],['CL332'],['descending'],['efferent'],150616.0,42344.0,5175.0,147654.0,49771.0,3114.0,327.0
DNg97,left,1,155.0,155.0,[720575940626730883],['DNg97'],[],['descending'],['efferent'],118592.0,89448.0,2817.0,118592.0,89448.0,2817.0,right,1,170.0,170.0,[720575940620300308],['DNg97'],[],['descending'],['efferent'],141040.0,89776.0,2454.0,126507.0,70522.0,4373.0,325.0
DNp18,left,1,163.0,163.0,[720575940618440000],[],['DNp18'],['descending'],['efferent'],113488.0,47432.0,5295.0,122530.0,56192.0,4905.0,right,1,157.0,157.0,[720575940627949589],[],['DNp18'],['descending'],['efferent'],153768.0,52048.0,5053.0,153768.0,52048.0,5053.0,320.0
DNpe056,left,1,104.0,104.0,[720575940634458719],['DNpe056'],['PVLP146'],['descending'],['efferent'],110984.0,47144.0,5348.0,110984.0,47144.0,5348.0,right,1,186.0,186.0,[720575940632472850],['DNpe056'],['PVLP146'],['descending'],['efferent'],153008.0,46320.0,5022.0,153008.0,46320.0,5022.0,290.0
DNae002,left,1,141.0,141.0,[720575940627139530],['DNae002'],['DNa04'],['descending'],['efferent'],105072.0,36336.0,1709.0,116879.0,64542.0,4214.0,right,1,139.0,139.0,[720575940620380449],['DNae002'],['DNa04'],['descending'],['efferent'],157304.0,40488.0,1040.0,152035.0,41995.0,2086.0,280.0
DNpe040,left,1,148.0,148.0,[720575940624801771],['DNpe040'],['CL320'],['descending'],['efferent'],117576.0,48712.0,5538.0,118096.0,52921.0,3358.0,right,1,117.0,117.0,[720575940605702944],['DNpe040'],['CL320'],['descending'],['efferent'],149624.0,45032.0,5101.0,149298.0,45623.0,4612.0,265.0
DNpe016,left,1,105.0,105.0,[720575940623556755],['DNpe016'],['PS211'],['descending'],['efferent'],130056.0,58144.0,4615.0,122204.0,48246.0,4429.0,right,1,155.0,155.0,[720575940614236200],['DNpe016'],['PS211'],['descending'],['efferent'],140632.0,47896.0,4995.0,143814.0,47759.0,4644.0,260.0
