window_ms,condition,candidate_label,side,mean_rate_hz,mean_voltage_mv,mean_conductance
100.0,baseline_gray,DNp09,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp09,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp35,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp35,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp06,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp06,right,0.0,-52.0,0.0
100.0,baseline_gray,DNpe031,left,0.0,-52.0,0.0
100.0,baseline_gray,DNpe031,right,0.0,-52.0,0.0
100.0,baseline_gray,DNb01,left,0.0,-52.0,0.0
100.0,baseline_gray,DNb01,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp71,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp71,right,0.0,-52.0,0.0
100.0,baseline_gray,DNb09,left,0.0,-52.0,0.0
100.0,baseline_gray,DNb09,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp103,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp103,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp43,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp43,right,0.0,-52.0,0.0
100.0,baseline_gray,DNg97,left,0.0,-52.0,0.0
100.0,baseline_gray,DNg97,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp18,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp18,right,0.0,-52.0,0.0
100.0,baseline_gray,DNpe056,left,0.0,-52.0,0.0
100.0,baseline_gray,DNpe056,right,0.0,-52.0,0.0
100.0,baseline_gray,DNae002,left,0.0,-52.0,0.0
100.0,baseline_gray,DNae002,right,0.0,-52.0,0.0
100.0,baseline_gray,DNpe040,left,0.0,-52.0,0.0
100.0,baseline_gray,DNpe040,right,0.0,-52.0,0.0
100.0,baseline_gray,DNpe016,left,0.0,-52.0,0.0
100.0,baseline_gray,DNpe016,right,0.0,-52.0,0.0
100.0,baseline_gray,DNp69,left,0.0,-52.0,0.0
100.0,baseline_gray,DNp69,right,0.0,-52.0,0.0
100.0,body_left_dark,DNp09,left,10.0,-52.42577362060547,1.6303181648254395
100.0,body_left_dark,DNp09,right,0.0,-72.37042236328125,-28.22361183166504
100.0,body_left_dark,DNp35,left,20.0,-89.45664978027344,-48.225406646728516
100.0,body_left_dark,DNp35,right,10.0,-134.798583984375,-111.03063201904297
100.0,body_left_dark,DNp06,left,30.0,-76.89061737060547,-27.705280303955078
100.0,body_left_dark,DNp06,right,30.0,-71.76844787597656,-24.60733413696289
100.0,body_left_dark,DNpe031,left,50.0,-49.830142974853516,9.540949821472168
100.0,body_left_dark,DNpe031,right,30.0,-51.01632881164551,5.152836561203003
100.0,body_left_dark,DNb01,left,50.0,-50.49772644042969,8.597092628479004
100.0,body_left_dark,DNb01,right,70.0,-50.98918533325195,10.980252265930176
100.0,body_left_dark,DNp71,left,70.0,-50.20879364013672,11.716856002807617
100.0,body_left_dark,DNp71,right,30.0,-51.52188491821289,4.847650527954102
100.0,body_left_dark,DNb09,left,30.0,-52.442264556884766,1.9621373414993286
100.0,body_left_dark,DNb09,right,0.0,-53.55013656616211,-2.005899667739868
100.0,body_left_dark,DNp103,left,130.0,-51.191551208496094,20.43039321899414
100.0,body_left_dark,DNp103,right,140.0,-51.0112419128418,21.817380905151367
100.0,body_left_dark,DNp43,left,40.0,-53.31338882446289,4.646976947784424
100.0,body_left_dark,DNp43,right,0.0,-74.80146026611328,-29.551164627075195
100.0,body_left_dark,DNg97,left,60.0,-55.347686767578125,5.600286960601807
100.0,body_left_dark,DNg97,right,80.0,-51.6068229675293,11.97878646850586
100.0,body_left_dark,DNp18,left,50.0,-51.825050354003906,6.24709415435791
100.0,body_left_dark,DNp18,right,70.0,-50.7725715637207,12.383227348327637
100.0,body_left_dark,DNpe056,left,70.0,-49.853511810302734,12.017899513244629
100.0,body_left_dark,DNpe056,right,110.0,-50.98239517211914,16.709524154663086
100.0,body_left_dark,DNae002,left,30.0,-58.358219146728516,-5.395618915557861
100.0,body_left_dark,DNae002,right,90.0,-52.397499084472656,12.56433391571045
