task,input_group,frequency_hz,duration_ms,mn9_left_hz,mn9_right_hz,mn9_left_voltage,mn9_right_voltage,mn9_left_conductance,mn9_right_conductance,mn9_total_hz,mn9_asymmetry_hz
feeding,sugar_right,20.0,100.0,0.0,0.0,-52.051029205322266,-52.000003814697266,-0.054999642074108124,0.0,0.0,0.0
feeding,sugar_right,40.0,100.0,0.0,0.0,-52.08291244506836,-52.011512756347656,-0.10936705768108368,-0.013747178018093109,0.0,0.0
feeding,sugar_right,60.0,100.0,0.0,0.0,-52.096343994140625,-52.06064224243164,-0.12331182509660721,-0.07099397480487823,0.0,0.0
feeding,sugar_right,80.0,100.0,0.0,0.0,-52.09815979003906,-52.09769821166992,0.25327882170677185,0.19442801177501678,0.0,0.0
feeding,sugar_right,100.0,100.0,10.0,10.0,-51.988956451416016,-52.04240417480469,1.978552222251892,2.1059210300445557,20.0,0.0
feeding,sugar_right,120.0,100.0,30.0,20.0,-51.72385025024414,-51.65410614013672,4.551114082336426,3.4879138469696045,50.0,-10.0
feeding,sugar_right,140.0,100.0,30.0,20.0,-51.94108963012695,-56.19467544555664,4.2306294441223145,-2.615499973297119,50.0,-10.0
feeding,sugar_right,160.0,100.0,40.0,40.0,-57.84965133666992,-53.03325653076172,-1.9337199926376343,4.630101680755615,80.0,0.0
feeding,sugar_right,180.0,100.0,60.0,40.0,-51.64079284667969,-50.21200942993164,8.844042778015137,7.848207950592041,100.0,-20.0
feeding,sugar_right,200.0,100.0,40.0,40.0,-53.54542541503906,-52.603580474853516,3.646404504776001,5.105876922607422,80.0,0.0
feeding,sugar_left,20.0,100.0,0.0,0.0,-52.000003814697266,-52.000003814697266,0.0,0.0,0.0,0.0
feeding,sugar_left,40.0,100.0,0.0,0.0,-52.000003814697266,-52.000003814697266,0.0,0.0,0.0,0.0
feeding,sugar_left,60.0,100.0,0.0,0.0,-52.000003814697266,-52.000003814697266,0.0,0.0,0.0,0.0
feeding,sugar_left,80.0,100.0,0.0,0.0,-52.000003814697266,-52.010738372802734,0.0,-0.013740473426878452,0.0,0.0
feeding,sugar_left,100.0,100.0,0.0,0.0,-52.000003814697266,-52.01167297363281,0.0,-0.013747835531830788,0.0,0.0
feeding,sugar_left,120.0,100.0,0.0,0.0,-52.000003814697266,-52.01472854614258,0.0,-0.02526692859828472,0.0,0.0
feeding,sugar_left,140.0,100.0,0.0,0.0,-52.000003814697266,-52.018856048583984,0.0,-0.027137398719787598,0.0,0.0
feeding,sugar_left,160.0,100.0,0.0,0.0,-52.000003814697266,-52.02198791503906,0.0,-0.027451885864138603,0.0,0.0
feeding,sugar_left,180.0,100.0,0.0,0.0,-52.000003814697266,-52.03239440917969,0.0,-0.04104277119040489,0.0,0.0
feeding,sugar_left,200.0,100.0,0.0,0.0,-52.000003814697266,-52.0338249206543,0.0,-0.0422213040292263,0.0,0.0
