task,input_group,frequency_hz,duration_ms,adn1_left_hz,adn1_right_hz,abn1_hz,adn1_left_voltage,adn1_right_voltage,abn1_voltage,adn1_left_conductance,adn1_right_conductance,abn1_conductance,adn1_total_hz,adn1_asymmetry_hz
grooming,jon_ce,20.0,100.0,0.0,0.0,0.0,-52.000003814697266,-52.000003814697266,-50.93134307861328,0.0,0.0,1.434637188911438,0.0,0.0
grooming,jon_ce,40.0,100.0,0.0,0.0,0.0,-52.000003814697266,-52.00779342651367,-50.21224594116211,0.0,-0.013594957068562508,2.4757041931152344,0.0,0.0
grooming,jon_ce,60.0,100.0,0.0,0.0,0.0,-52.000003814697266,-52.019378662109375,-49.543846130371094,0.0,-0.02722671814262867,3.2924389839172363,0.0,0.0
grooming,jon_ce,80.0,100.0,0.0,0.0,0.0,-52.000003814697266,-52.027469635009766,-49.15464401245117,0.0,-0.03977932408452034,3.75189471244812,0.0,0.0
grooming,jon_ce,100.0,100.0,0.0,0.0,0.0,-52.000003814697266,-52.03490447998047,-48.69987487792969,0.0,-0.046802882105112076,4.386513710021973,0.0,0.0
grooming,jon_ce,120.0,100.0,0.0,0.0,10.0,-51.976009368896484,-51.7744140625,-48.46446990966797,0.08447637408971786,0.8869383931159973,5.039694309234619,0.0,0.0
grooming,jon_ce,140.0,100.0,0.0,0.0,10.0,-51.987186431884766,-51.901214599609375,-48.01103973388672,0.07138737291097641,0.737372875213623,5.32437801361084,0.0,0.0
grooming,jon_ce,160.0,100.0,0.0,0.0,20.0,-51.89188766479492,-50.84736251831055,-49.03316116333008,0.17808829247951508,1.9169601202011108,5.876859188079834,0.0,0.0
grooming,jon_ce,180.0,100.0,0.0,0.0,20.0,-51.84974670410156,-50.37980651855469,-49.24116134643555,0.1920432150363922,2.071648120880127,6.56171989440918,0.0,0.0
grooming,jon_ce,200.0,100.0,0.0,0.0,20.0,-51.84088134765625,-50.28047180175781,-49.21733093261719,0.19236576557159424,2.0754435062408447,6.845766067504883,0.0,0.0
grooming,jon_ce,220.0,100.0,0.0,0.0,20.0,-51.83802795410156,-50.2574577331543,-48.90856170654297,0.1924050897359848,2.063060760498047,7.215662002563477,0.0,0.0
grooming,jon_f,20.0,100.0,0.0,0.0,0.0,-52.000003814697266,-52.000003814697266,-50.641605377197266,0.0,0.0,1.6518802642822266,0.0,0.0
grooming,jon_f,40.0,100.0,0.0,0.0,0.0,-51.88771057128906,-51.85026931762695,-49.25100326538086,0.16228491067886353,0.21638008952140808,3.2948412895202637,0.0,0.0
grooming,jon_f,60.0,100.0,0.0,0.0,0.0,-51.810760498046875,-51.767723083496094,-48.735076904296875,0.24536125361919403,0.29985859990119934,3.9444174766540527,0.0,0.0
grooming,jon_f,80.0,100.0,0.0,0.0,0.0,-51.78941345214844,-51.75502014160156,-48.30323028564453,0.25516384840011597,0.2989773154258728,4.449315547943115,0.0,0.0
grooming,jon_f,100.0,100.0,0.0,0.0,0.0,-51.74578857421875,-51.713436126708984,-48.89826202392578,0.3266790807247162,0.36752772331237793,3.632754325866699,0.0,0.0
grooming,jon_f,120.0,100.0,0.0,0.0,0.0,-51.69969940185547,-51.66006851196289,-48.852230072021484,0.39189428091049194,0.44506147503852844,3.7999727725982666,0.0,0.0
grooming,jon_f,140.0,100.0,0.0,0.0,0.0,-51.6989860534668,-51.669952392578125,-49.86390686035156,0.395539253950119,0.43299973011016846,2.3121819496154785,0.0,0.0
grooming,jon_f,160.0,100.0,0.0,0.0,0.0,-51.687957763671875,-51.65976333618164,-49.57484436035156,0.4052141010761261,0.44473299384117126,2.9858028888702393,0.0,0.0
grooming,jon_f,180.0,100.0,0.0,0.0,0.0,-51.665409088134766,-51.63238525390625,-49.31039810180664,0.41019460558891296,0.4439317286014557,3.5065906047821045,0.0,0.0
grooming,jon_f,200.0,100.0,0.0,0.0,0.0,-51.64299011230469,-51.53349685668945,-49.73828887939453,0.46163633465766907,0.6025709509849548,2.0856635570526123,0.0,0.0
grooming,jon_f,220.0,100.0,0.0,0.0,0.0,-51.61691665649414,-51.49555969238281,-49.66382598876953,0.4940839409828186,0.6435735821723938,2.452333927154541,0.0,0.0
grooming,jon_dm,20.0,100.0,0.0,0.0,0.0,-51.97483444213867,-51.959556579589844,-51.89469528198242,0.07548495382070541,0.11411803215742111,0.16345806419849396,0.0,0.0
grooming,jon_dm,40.0,100.0,0.0,0.0,0.0,-51.89921569824219,-51.845829010009766,-51.5571174621582,0.1604902446269989,0.24130040407180786,0.5367576479911804,0.0,0.0
grooming,jon_dm,60.0,100.0,0.0,0.0,0.0,-51.7119026184082,-51.62321090698242,-51.540069580078125,0.3299364149570465,0.4261934161186218,0.4811972379684448,0.0,0.0
grooming,jon_dm,80.0,100.0,0.0,0.0,0.0,-51.71183395385742,-51.62141036987305,-51.49839401245117,0.32993629574775696,0.4361700117588043,0.612139105796814,0.0,0.0
grooming,jon_dm,100.0,100.0,0.0,0.0,0.0,-51.69015884399414,-51.58790588378906,-51.46431350708008,0.4029364585876465,0.5352193713188171,0.6120700836181641,0.0,0.0
grooming,jon_dm,120.0,100.0,0.0,0.0,0.0,-51.71576690673828,-51.61624526977539,-51.466636657714844,0.4054921269416809,0.5278552174568176,0.603388786315918,0.0,0.0
grooming,jon_dm,140.0,100.0,0.0,0.0,0.0,-51.70465087890625,-51.61103820800781,-51.519107818603516,0.40583112835884094,0.5280998349189758,0.5402839779853821,0.0,0.0
grooming,jon_dm,160.0,100.0,0.0,0.0,0.0,-51.704349517822266,-51.61063766479492,-51.517738342285156,0.405837744474411,0.52812659740448,0.5411854982376099,0.0,0.0
grooming,jon_dm,180.0,100.0,0.0,0.0,0.0,-51.664703369140625,-51.564308166503906,-51.424659729003906,0.43680569529533386,0.5659505128860474,0.8169049024581909,0.0,0.0
grooming,jon_dm,200.0,100.0,0.0,0.0,0.0,-51.57319641113281,-51.46195983886719,-52.0960578918457,0.5711707472801208,0.7175465822219849,-0.4950914680957794,0.0,0.0
grooming,jon_dm,220.0,100.0,0.0,0.0,0.0,-51.5850944519043,-51.47724914550781,-52.32339096069336,0.5698495507240295,0.7080620527267456,-0.9495282173156738,0.0,0.0
