task,input_group,frequency_hz,duration_ms,adn1_left_hz,adn1_right_hz,abn1_hz,adn1_left_voltage,adn1_right_voltage,abn1_voltage,adn1_left_conductance,adn1_right_conductance,abn1_conductance,adn1_total_hz,adn1_asymmetry_hz
grooming,jon_ce,20.0,500.0,0.0,0.0,0.0,-52.0,-52.0,-50.65877151489258,0.0,0.0,1.4139361381530762,0.0,0.0
grooming,jon_ce,40.0,500.0,0.0,0.0,0.0,-52.0,-52.015506744384766,-49.482421875,0.0,-0.016497457399964333,2.6465632915496826,0.0,0.0
grooming,jon_ce,60.0,500.0,0.0,0.0,0.0,-52.0,-52.030174255371094,-48.60210418701172,0.0,-0.03240646421909332,3.5671472549438477,0.0,0.0
grooming,jon_ce,80.0,500.0,0.0,0.0,0.0,-52.0,-52.0401496887207,-47.813602447509766,0.0,-0.042925525456666946,4.364682197570801,0.0,0.0
grooming,jon_ce,100.0,500.0,0.0,0.0,0.0,-52.0,-52.04621887207031,-47.27689743041992,0.0,-0.04904143884778023,4.944080352783203,0.0,0.0
grooming,jon_ce,120.0,500.0,0.0,0.0,4.0,-51.96177291870117,-51.628501892089844,-47.46147155761719,0.038499969989061356,0.368834912776947,5.3383588790893555,0.0,0.0
grooming,jon_ce,140.0,500.0,0.0,0.0,10.0,-51.9156494140625,-51.11838912963867,-47.694244384765625,0.09594879299402237,1.0040565729141235,5.867366790771484,0.0,0.0
grooming,jon_ce,160.0,500.0,0.0,0.0,16.0,-51.8649787902832,-50.566253662109375,-48.208919525146484,0.1494121104478836,1.589604139328003,6.020202159881592,0.0,0.0
grooming,jon_ce,180.0,500.0,0.0,0.0,20.0,-51.81803512573242,-50.04681396484375,-48.452606201171875,0.1923210769891739,2.066134452819824,6.5155463218688965,0.0,0.0
grooming,jon_ce,200.0,500.0,0.0,0.0,22.0,-51.79778289794922,-49.82280349731445,-48.586856842041016,0.21163280308246613,2.2785933017730713,6.6905741691589355,0.0,0.0
grooming,jon_ce,220.0,500.0,0.0,0.0,24.0,-51.7745361328125,-49.568233489990234,-48.53007125854492,0.23098942637443542,2.4889814853668213,7.08512020111084,0.0,0.0
grooming,jon_f,20.0,500.0,0.0,0.0,0.0,-52.0,-52.0,-50.21538162231445,0.0,0.0,1.8589038848876953,0.0,0.0
grooming,jon_f,40.0,500.0,0.0,0.0,0.0,-51.852874755859375,-51.80911636352539,-48.79768753051758,0.14849983155727386,0.19249992072582245,3.3045194149017334,0.0,0.0
grooming,jon_f,60.0,500.0,0.0,0.0,0.0,-51.755157470703125,-51.70347213745117,-48.438018798828125,0.2555265426635742,0.31045258045196533,3.6711080074310303,0.0,0.0
grooming,jon_f,80.0,500.0,0.0,0.0,0.0,-51.66756057739258,-51.61834716796875,-48.77525329589844,0.3455619812011719,0.3975222110748291,3.332848072052002,0.0,0.0
grooming,jon_f,100.0,500.0,0.0,0.0,0.0,-51.63169860839844,-51.58960723876953,-48.85478973388672,0.3792993426322937,0.42151668667793274,3.2928812503814697,0.0,0.0
grooming,jon_f,120.0,500.0,0.0,0.0,0.0,-51.595428466796875,-51.55359649658203,-49.4840087890625,0.4243771433830261,0.4696524739265442,2.614619016647339,0.0,0.0
grooming,jon_f,140.0,500.0,0.0,0.0,0.0,-51.5606803894043,-51.51877975463867,-49.72792053222656,0.459550678730011,0.5036061406135559,2.3628764152526855,0.0,0.0
grooming,jon_f,160.0,500.0,0.0,0.0,0.0,-51.54893493652344,-51.474185943603516,-49.83585739135742,0.4665945768356323,0.5421332120895386,2.3228089809417725,0.0,0.0
grooming,jon_f,180.0,500.0,0.0,0.0,0.0,-51.5096321105957,-51.39376449584961,-49.92253494262695,0.5085969567298889,0.6256351470947266,2.0553152561187744,0.0,0.0
grooming,jon_f,200.0,500.0,0.0,0.0,0.0,-51.49777603149414,-51.347023010253906,-50.3938102722168,0.5228033065795898,0.6756089925765991,1.7493728399276733,0.0,0.0
grooming,jon_f,220.0,500.0,0.0,0.0,0.0,-51.47490310668945,-51.284088134765625,-50.31061935424805,0.5480434894561768,0.7418114542961121,1.7083189487457275,0.0,0.0
grooming,jon_dm,20.0,500.0,0.0,0.0,0.0,-51.8687629699707,-51.80561065673828,-51.755496978759766,0.13200005888938904,0.19524985551834106,0.24475087225437164,0.0,0.0
grooming,jon_dm,40.0,500.0,0.0,0.0,0.0,-51.807373046875,-51.72724914550781,-51.57820129394531,0.19795921444892883,0.28044310212135315,0.42889919877052307,0.0,0.0
grooming,jon_dm,60.0,500.0,0.0,0.0,0.0,-51.70618438720703,-51.61398696899414,-51.521358489990234,0.29699790477752686,0.3904968798160553,0.4891293942928314,0.0,0.0
grooming,jon_dm,80.0,500.0,0.0,0.0,0.0,-51.560707092285156,-51.43825149536133,-52.02761459350586,0.448778361082077,0.5758455395698547,-0.010631519369781017,0.0,0.0
grooming,jon_dm,100.0,500.0,0.0,0.0,0.0,-51.53096389770508,-51.417236328125,-52.087318420410156,0.47848206758499146,0.5939818024635315,-0.07402299344539642,0.0,0.0
grooming,jon_dm,120.0,500.0,0.0,0.0,0.0,-51.51224899291992,-51.39230728149414,-52.41183853149414,0.49499446153640747,0.6167934536933899,-0.39043179154396057,0.0,0.0
grooming,jon_dm,140.0,500.0,0.0,0.0,0.0,-51.493099212646484,-51.36308288574219,-52.43056869506836,0.5142183899879456,0.6462093591690063,-0.43141189217567444,0.0,0.0
grooming,jon_dm,160.0,500.0,0.0,0.0,0.0,-51.443946838378906,-51.301856994628906,-52.46998596191406,0.5712421536445618,0.7171840667724609,-0.4325653612613678,0.0,0.0
grooming,jon_dm,180.0,500.0,0.0,0.0,0.0,-51.45791244506836,-51.33108139038086,-52.509037017822266,0.5587356686592102,0.6893748044967651,-0.47028467059135437,0.0,0.0
grooming,jon_dm,200.0,500.0,0.0,0.0,0.0,-51.36624526977539,-51.22595977783203,-53.0792236328125,0.66021728515625,0.804712176322937,-1.0771454572677612,0.0,0.0
grooming,jon_dm,220.0,500.0,0.0,0.0,0.0,-51.435028076171875,-51.28950119018555,-53.113059997558594,0.5922170281410217,0.7461307644844055,-1.0966345071792603,0.0,0.0
grooming,jon_all,20.0,500.0,0.0,0.0,0.0,-51.846412658691406,-51.81543731689453,-49.133056640625,0.16375713050365448,0.1968923956155777,2.997002363204956,0.0,0.0
grooming,jon_all,40.0,500.0,0.0,0.0,0.0,-51.72007751464844,-51.70227813720703,-47.57573318481445,0.29228389263153076,0.31262829899787903,4.638159275054932,0.0,0.0
