cell_type,body_left_left_eye_mean,body_left_right_eye_mean,body_right_left_eye_mean,body_right_right_eye_mean,body_center_abs_delta,is_tracking_cell,is_flow_cell,body_left_eye_diff,body_right_eye_diff,mirror_selectivity_score,sign_flip_consistent
TmY14,0.702012554089059,0.9178556938915717,0.9178556938915717,0.702012554089059,0.7975532890394561,True,False,-0.21584313980251268,0.21584313980251268,0.43168627960502537,True
TmY15,-0.28407671995364214,-0.36283799243437787,-0.36283799243437787,-0.28407671995364214,0.29236909120009213,True,False,0.07876127248073572,-0.07876127248073572,0.15752254496147144,True
T5d,0.7881614429653961,0.845911397404608,0.845911397404608,0.7881614429653961,0.7906872566524644,False,True,-0.057749954439211826,0.057749954439211826,0.11549990887842365,True
T5c,0.5994171069090701,0.6389963727491531,0.6389963727491531,0.5994171069090701,0.6058698074206256,False,True,-0.03957926584008298,0.03957926584008298,0.07915853168016596,True
T4b,-0.4029320669316362,-0.4400078632906623,-0.4400078632906623,-0.4029320669316362,0.3983801689677428,False,True,0.037075796359026136,-0.037075796359026136,0.07415159271805227,True
TmY5a,0.3075521717339881,0.3375737902117706,0.3375737902117706,0.3075521717339881,0.3076676903206238,True,False,-0.030021618477782508,0.030021618477782508,0.060043236955565016,True
TmY4,0.7001260652267062,0.6702581024588236,0.6702581024588236,0.7001260652267062,0.7207324484988875,True,False,0.029867962767882617,-0.029867962767882617,0.05973592553576523,True
TmY18,-1.0400096338548699,-1.0106066753595937,-1.0106066753595937,-1.0400096338548699,1.0066827425280134,True,False,-0.029402958495276188,0.029402958495276188,0.058805916990552376,True
T5a,0.3868302222147777,0.41398734428400263,0.41398734428400263,0.3868302222147777,0.40409894462613727,False,True,-0.027157122069224937,0.027157122069224937,0.054314244138449874,True
TmY9,-0.4416155620828851,-0.416724105082549,-0.416724105082549,-0.4416155620828851,0.41822100058485656,True,False,-0.024891457000336126,0.024891457000336126,0.04978291400067225,True
Mi10,-1.1585027514082011,-1.1339436305775528,-1.1339436305775528,-1.1585027514082011,1.1339429399293477,False,False,-0.024559120830648373,0.024559120830648373,0.049118241661296747,True
T3,-0.8313182577261,-0.855470735411204,-0.855470735411204,-0.8313182577261,0.8361145024186065,True,False,0.02415247768510398,-0.02415247768510398,0.04830495537020796,True
Mi4,-2.6127554902419834,-2.63653289814403,-2.63653289814403,-2.6127554902419834,2.606199367779476,False,False,0.023777407902046743,-0.023777407902046743,0.047554815804093487,True
T5b,0.33448403743619814,0.3575870081816232,0.3575870081816232,0.33448403743619814,0.3351098205145398,False,True,-0.023102970745425055,0.023102970745425055,0.04620594149085011,True
Tm5c,0.12291366785635693,0.14550066871883027,0.14550066871883027,0.12291366785635693,0.13163689480066076,True,False,-0.02258700086247334,0.02258700086247334,0.04517400172494668,True
Tm3,-1.0559834609558054,-1.077941319939894,-1.077941319939894,-1.0559834609558054,1.0565452311144834,True,False,0.02195785898408853,-0.02195785898408853,0.04391571796817706,True
Mi15,-1.2823674829604177,-1.3000929820492413,-1.3000929820492413,-1.2823674829604177,1.2873497627589234,False,False,0.017725499088823593,-0.017725499088823593,0.035450998177647186,True
Tm2,0.5855275134983355,0.599742451268228,0.599742451268228,0.5855275134983355,0.581343656518716,True,False,-0.014214937769892466,0.014214937769892466,0.028429875539784932,True
T4a,-0.8607653924209586,-0.874717371846656,-0.874717371846656,-0.8607653924209586,0.8665574001771322,False,True,0.01395197942569737,-0.01395197942569737,0.02790395885139474,True
T2a,-0.6766935647062118,-0.6899525309001696,-0.6899525309001696,-0.6766935647062118,0.6740685827638163,True,False,0.013258966193957833,-0.013258966193957833,0.026517932387915666,True
Mi2,-0.13320618885936142,-0.14624202393350116,-0.14624202393350116,-0.13320618885936142,0.1395693454733229,False,False,0.013035835074139746,-0.013035835074139746,0.02607167014827949,True
Mi14,0.007924615543384084,-0.004904763503766174,-0.004904763503766174,0.007924615543384084,0.0021732785469316673,False,False,0.012829379047150258,-0.012829379047150258,0.025658758094300516,True
T4c,-0.2884827526419291,-0.2999546604207314,-0.2999546604207314,-0.2884827526419291,0.2771341240320276,False,True,0.011471907778802304,-0.011471907778802304,0.022943815557604608,True
Tm4,0.01978297194072305,0.03026804713714637,0.03026804713714637,0.01978297194072305,0.02353190721363696,True,False,-0.010485075196423319,0.010485075196423319,0.020970150392846637,True
Tm5b,0.7536128873626393,0.7614030419877081,0.7614030419877081,0.7536128873626393,0.7552977171873956,True,False,-0.007790154625068824,0.007790154625068824,0.015580309250137647,True
Mi3,0.14461638721036707,0.13757592424169762,0.13757592424169762,0.14461638721036707,0.14431785081574366,False,False,0.0070404629686694475,-0.0070404629686694475,0.014080925937338895,True
CT1(Lo1),0.6424463798086364,0.6493212875607726,0.6493212875607726,0.6424463798086364,0.6394566876317545,False,False,-0.006874907752136172,0.006874907752136172,0.013749815504272345,True
Mi9,1.435049363689281,1.441463729214665,1.441463729214665,1.435049363689281,1.4374258803330004,False,False,-0.0064143655253841025,0.0064143655253841025,0.012828731050768205,True
