family,super_class,n_roots,mean_selected_frames,total_selected_frames,mean_spike_frames,total_spike_frames,mean_voltage_mv,max_voltage_mv
lLN1_bc,central,25,4.96,124,4.96,124,-51.273815,-45.0
T5c,optic,25,2.36,59,2.28,57,-50.161587,-45.0
T5a,optic,33,1.7272727272727273,57,1.6666666666666667,55,-50.068176,-45.0
lLN2X12,central,9,5.888888888888889,53,5.888888888888889,53,-51.27854,-45.03125
HRN_VP1d,sensory,16,3.125,50,3.0625,49,-50.382793,-45.03125
LC4,visual_projection,29,1.7586206896551724,51,1.6206896551724137,47,-50.552647,-45.0
ORN_VM6v,sensory,26,1.7692307692307692,46,1.7307692307692308,45,-49.91314,-45.0
T5d,optic,26,1.6923076923076923,44,1.6923076923076923,44,-50.07825,-45.0
lLN2P_b,central,11,3.727272727272727,41,3.727272727272727,41,-51.02905,-45.0625
JO-EDM,sensory,40,1.1,44,1.0,40,-52.619183,-45.0
lLN2P_a,central,10,3.5,35,3.5,35,-51.079422,-45.0
CB3819,optic,90,0.3888888888888889,35,0.35555555555555557,32,-49.56561,-45.0
JO-EVM,sensory,43,0.813953488372093,35,0.7441860465116279,32,-52.38631,-45.03125
T5b,optic,34,1.0294117647058822,35,0.9411764705882353,32,-49.044006,-45.0
ORN_D,sensory,29,1.0344827586206897,30,0.9655172413793104,28,-49.658413,-45.0
JO-EVL,sensory,27,1.037037037037037,28,1.0,27,-52.59829,-45.03125
LPC2,visual_projection,45,0.6222222222222222,28,0.6,27,-49.051704,-45.0
lLN2X05,central,4,6.5,26,6.25,25,-51.29867,-45.03125
CB3417,central,7,3.5714285714285716,25,3.4285714285714284,24,-50.64471,-45.0
DL2d_adPN,central,10,2.4,24,2.4,24,-50.26292,-45.0
lLN1_a,central,3,7.666666666666667,23,7.333333333333333,22,-51.394897,-45.03125
CB3830,optic,44,0.5,22,0.5,22,-51.68265,-45.0
TRN_VP2,sensory,7,3.0,21,3.0,21,-50.267857,-45.0
VA1v_vPN,central,4,5.25,21,5.25,21,-50.665627,-45.0
DL2v_adPN,central,7,2.857142857142857,20,2.857142857142857,20,-50.61587,-45.0
VA1d_adPN,central,6,3.3333333333333335,20,3.3333333333333335,20,-50.266117,-45.0
lLN2X03,central,4,4.75,19,4.75,19,-51.402225,-45.03125
ORN_DC1,sensory,39,0.5384615384615384,21,0.46153846153846156,18,-48.65526,-45.0
DC2_adPN,central,4,4.5,18,4.5,18,-50.593323,-45.0
M_vPNml50,central,4,4.5,18,4.5,18,-51.118244,-45.0
DA1_lPN,central,8,2.25,18,2.125,17,-50.401035,-45.0
JO-EVP,sensory,18,1.0,18,0.9444444444444444,17,-52.286926,-45.03125
v2LN46b,central,6,2.8333333333333335,17,2.8333333333333335,17,-50.1425,-45.0
HRN_VP1l,sensory,13,1.3076923076923077,17,1.2307692307692308,16,-50.13012,-45.0
VM5d_adPN,central,9,1.8888888888888888,17,1.7777777777777777,16,-49.956146,-45.0
lLN2F_b,central,2,8.5,17,8.0,16,-51.2818,-45.0625
JO-EV,sensory,22,0.7272727272727273,16,0.7272727272727273,16,-52.153053,-45.0
MBON14,central,4,4.0,16,4.0,16,-50.8816,-45.0
