family,super_class,n_roots,mean_selected_frames,total_selected_frames,mean_spike_frames,total_spike_frames,mean_voltage_mv,max_voltage_mv
lLN1_bc,central,25,4.56,114,4.56,114,-51.282394,-45.03125
T5a,optic,33,2.393939393939394,79,2.3636363636363638,78,-50.005455,-45.0
T5d,optic,26,2.076923076923077,54,2.076923076923077,54,-50.024754,-45.0
T5c,optic,25,1.96,49,1.88,47,-50.24857,-45.0
LC4,visual_projection,29,1.7241379310344827,50,1.5862068965517242,46,-50.460434,-45.0
lLN2P_b,central,11,3.5454545454545454,39,3.5454545454545454,39,-51.0509,-45.0
HRN_VP1d,sensory,16,2.375,38,2.3125,37,-50.386543,-45.0
lLN2P_a,central,10,3.7,37,3.7,37,-51.038002,-45.0
ORN_VM6v,sensory,26,1.4230769230769231,37,1.3846153846153846,36,-49.888878,-45.0
JO-EVM,sensory,43,0.8604651162790697,37,0.7906976744186046,34,-52.375175,-45.03125
JO-EDM,sensory,40,0.9,36,0.8,32,-52.59419,-45.03125
lLN2X12,central,9,3.4444444444444446,31,3.4444444444444446,31,-51.21396,-45.0
T5b,optic,34,0.7941176470588235,27,0.7058823529411765,24,-49.411167,-45.0
ORN_D,sensory,29,0.8620689655172413,25,0.7931034482758621,23,-49.67578,-45.0
VC3_adPN,central,8,2.875,23,2.875,23,-53.539257,-45.0
lLN2P_c,central,5,4.6,23,4.6,23,-51.16528,-45.03125
CB3819,optic,90,0.2777777777777778,25,0.24444444444444444,22,-48.735695,-45.0
VM5d_adPN,central,9,2.5555555555555554,23,2.4444444444444446,22,-49.87361,-45.03125
DL2d_adPN,central,10,2.1,21,2.1,21,-50.353046,-45.03125
lLN2X03,central,4,5.25,21,5.25,21,-51.41914,-45.0
UNKNOWN,optic,216,0.25462962962962965,55,0.09259259259259259,20,-53.2376,-45.0
DA1_lPN,central,8,2.625,21,2.5,20,-50.28006,-45.0
ORN_DC1,sensory,39,0.5641025641025641,22,0.48717948717948717,19,-48.62769,-45.0
v2LN3A1_b,central,8,2.375,19,2.25,18,-50.192833,-45.03125
VA1d_adPN,central,6,3.0,18,3.0,18,-50.28177,-45.0
VM5v_adPN,central,6,3.0,18,3.0,18,-50.2932,-45.0
HRN_VP1l,sensory,13,1.3846153846153846,18,1.3076923076923077,17,-50.12809,-45.0
JO-EDP,sensory,12,1.4166666666666667,17,1.4166666666666667,17,-52.217556,-45.0
v2LN46b,central,6,2.8333333333333335,17,2.8333333333333335,17,-50.256718,-45.0
"vLN28,vLN29",central,4,4.25,17,4.25,17,-50.576954,-45.03125
ORN_DL5,sensory,42,0.4523809523809524,19,0.38095238095238093,16,-48.984486,-45.0
CT1,optic,2,8.5,17,8.0,16,-51.618675,-45.34375
MBON12,central,4,4.25,17,4.0,16,-50.606483,-45.03125
DM2_lPN,central,4,4.0,16,4.0,16,-50.51297,-45.0625
JO-EV,sensory,22,0.7272727272727273,16,0.7272727272727273,16,-52.134556,-45.0625
lLN2X02,central,6,2.6666666666666665,16,2.6666666666666665,16,-50.452133,-45.03125
LPC2,visual_projection,45,0.35555555555555557,16,0.3333333333333333,15,-49.66852,-45.0
D_adPN,central,5,3.0,15,3.0,15,-50.67684,-45.15625
ORN_VL1,sensory,77,0.2077922077922078,16,0.18181818181818182,14,-48.87052,-45.0
