root_id,x,y,selected_frames,spike_frames,mean_voltage,max_voltage,sampled_overlay,x_norm,y_norm,dist_to_visual_center,cell_type,hemibrain_type,side,super_class,flow,family
720575940626979621,127904.0,49928.0,12,11,-51.704376,-46.59375,False,0.51950896,0.3875165,0.114162765,,CT1,left,optic,intrinsic,CT1
720575940622920074,106936.0,50392.0,10,10,-51.423283,-45.28125,False,0.4262538,0.39179596,0.13094509,lLN1_bc,"lLN1_b,lLN1_c",left,central,intrinsic,lLN1_bc
720575940615366055,135664.0,52624.0,10,10,-51.162033,-45.3125,False,0.55402154,0.41238168,0.10293346,,DM4_adPN,right,central,intrinsic,DM4_adPN
720575940631899223,103784.0,54240.0,10,9,-51.29906,-45.21875,False,0.4122353,0.427286,0.11397355,lLN2X05,,left,central,intrinsic,lLN2X05
720575940608241365,102984.0,51760.0,9,9,-51.037186,-45.0625,False,0.40867728,0.404413,0.13219951,lLN2X10,,left,central,intrinsic,lLN2X10
720575940614944977,108016.0,52664.0,9,9,-51.223125,-45.09375,False,0.4310571,0.41275057,0.11120066,,lLN2P_b,left,central,intrinsic,lLN2P_b
720575940633212441,105376.0,51976.0,9,9,-51.20625,-45.125,False,0.4193157,0.40640518,0.12357163,lLN2X07,,left,central,intrinsic,lLN2X07
720575940619928429,127560.0,49616.0,8,8,-50.407814,-45.0625,False,0.517979,0.38463894,0.116753675,VC3_adPN,VC3l_adPN,left,central,intrinsic,VC3_adPN
720575940628081660,90528.0,76400.0,8,8,-49.936405,-45.0625,False,0.35327926,0.6316673,0.19713765,T5d,,left,optic,intrinsic,T5d
720575940638288447,102112.0,74240.0,8,8,-50.843124,-45.0625,False,0.40479907,0.61174566,0.14680023,,MZ_lv2PN,left,central,intrinsic,MZ_lv2PN
720575940623000858,104120.0,54904.0,8,8,-51.322655,-45.09375,False,0.41372964,0.43341008,0.1089807,,lLN2F_b,left,central,intrinsic,lLN2F_b
720575940631306284,133776.0,54232.0,8,8,-51.8825,-45.09375,False,0.5456247,0.4272122,0.08590502,,LT33,right,optic,intrinsic,LT33
720575940636241550,106312.0,55912.0,8,8,-50.993126,-45.25,False,0.42347857,0.44270682,0.09559308,,lLN2P_a,left,central,intrinsic,lLN2P_a
720575940617205179,107512.0,50600.0,8,8,-51.31078,-45.28125,False,0.42881557,0.39371434,0.12792133,,lLN2P_c,left,central,intrinsic,lLN2P_c
720575940619709972,106232.0,56232.0,8,7,-50.454063,-45.15625,False,0.42312276,0.44565818,0.09414426,,PVLP024,left,central,intrinsic,PVLP024
720575940609522461,106935.0,73041.0,7,7,-51.055,-45.0,False,0.42624936,0.6006873,0.12480823,JO-EDP,,left,sensory,afferent,JO-EDP
720575940617537570,105680.0,50256.0,7,7,-51.422657,-45.03125,False,0.42066774,0.39054164,0.1351841,lLN1_bc,"lLN1_b,lLN1_c",left,central,intrinsic,lLN1_bc
720575940625952755,144464.0,50760.0,7,7,-51.447655,-45.03125,False,0.5931595,0.39519003,0.14022775,,mALC2,right,optic,intrinsic,mALC2
720575940632007983,147392.0,72288.0,7,7,-50.178123,-45.03125,False,0.6061818,0.5937424,0.14164113,LN60b,,right,central,intrinsic,LN60b
720575940608293129,147496.0,64088.0,7,7,-51.19031,-45.0625,False,0.60664433,0.5181139,0.10817175,,VP2_adPN,right,central,intrinsic,VP2_adPN
720575940628059722,103296.0,58672.0,7,7,-51.09828,-45.0625,False,0.4100649,0.46816227,0.09540421,,M_l2PN3t18,left,central,intrinsic,M_l2PN3t18
720575940621398254,103936.0,59008.0,7,7,-51.88875,-45.09375,False,0.4129113,0.47126117,0.09170803,lLN2X04,,left,central,intrinsic,lLN2X04
720575940619931119,111552.0,50232.0,7,7,-51.439842,-45.125,False,0.44678345,0.3903203,0.121908315,lLN2X11,,left,central,intrinsic,lLN2X11
720575940611703080,140048.0,51152.0,7,7,-50.681564,-45.15625,False,0.57351935,0.39880544,0.1250817,,D_adPN,right,central,intrinsic,D_adPN
720575940632416298,101976.0,55016.0,7,7,-51.309532,-45.15625,False,0.4041942,0.43444303,0.11608818,,lLN2T_e,left,central,intrinsic,lLN2T_e
720575940614060829,111503.0,71754.0,7,7,-51.19625,-45.1875,False,0.44656554,0.5888173,0.10365208,JO-EDM,,left,sensory,afferent,JO-EDM
720575940631683927,156120.0,54696.0,7,7,-50.7775,-45.1875,False,0.64499956,0.43149167,0.16036914,,M_l2PNl20,right,central,intrinsic,M_l2PNl20
720575940623136717,112648.0,49008.0,7,7,-51.146717,-45.21875,False,0.45165792,0.37903136,0.13027036,lLN2X12,,left,central,intrinsic,lLN2X12
