family,target_super_class,target_n_roots,target_sampled_fraction,target_mean_selected_frames,target_mean_spike_frames,target_corr_target_bearing_voltage,target_corr_target_bearing_asymmetry,target_corr_forward_speed_voltage,target_corr_turn_drive_asymmetry,target_mean_spike_per_frame,target_mean_voltage_mv,no_target_super_class,no_target_n_roots,no_target_sampled_fraction,no_target_mean_selected_frames,no_target_mean_spike_frames,no_target_corr_target_bearing_voltage,no_target_corr_target_bearing_asymmetry,no_target_corr_forward_speed_voltage,no_target_corr_turn_drive_asymmetry,no_target_mean_spike_per_frame,no_target_mean_voltage_mv,target_minus_no_target_mean_spike_frames,target_minus_no_target_mean_selected_frames
CT1,optic,2,0.0,8.5,8.0,-0.03247946114582907,0.12480554103316471,0.021721421347394607,0.05851176108526863,0.04,-51.61867141723633,optic,2,0.0,7.5,7.5,,,-0.03428841222227845,-0.06750311396123626,0.0375,-51.409767150878906,0.5,1.0
LHPV12a1,central,2,0.0,6.5,6.5,0.04193456693539818,0.1367160170927501,0.024706700831578724,0.10823496369705721,0.0325,-51.0661735534668,central,2,0.0,4.5,4.5,,,0.04262737277151303,-0.060501046972640735,0.0225,-50.905311584472656,2.0,2.0
DM4_adPN,central,2,0.0,6.5,6.5,-0.31956244102832887,0.12540550368122746,0.09173741175979944,0.12449710403000643,0.0325,-51.079376220703125,central,2,0.0,1.5,1.5,,,0.05442813924761313,-0.043036893266935924,0.0075,-50.85171890258789,5.0,5.0
lLN2X03,central,6,0.0,6.5,6.333333333333333,-0.24516822048056447,0.20230235591144538,0.09096515056980081,0.006979687033900343,0.03166666666666666,-51.38429641723633,central,6,0.0,4.166666666666667,4.0,,,-0.0910375197287918,-0.16883675672582493,0.019999999999999997,-51.339500427246094,2.333333333333333,2.333333333333333
LPi12,optic,4,0.0,6.25,6.25,-0.117522244403807,0.0029269305670226614,-0.00625632011732956,0.17267338780358246,0.03125,-51.12882995605469,optic,4,0.0,3.75,3.75,,,-0.0540136573499688,-0.09342079018412978,0.01875,-51.054298400878906,2.5,2.5
CRE011,central,2,0.0,6.5,6.0,-0.00031035644920059184,0.0402640953208187,0.05985541392663144,-0.011368578637889057,0.03,-51.489139556884766,central,2,0.0,5.5,5.0,,,0.09532812690742884,-0.036749140078788343,0.025,-51.463436126708984,1.0,1.0
DC1_adPN,central,2,0.0,6.0,6.0,-0.07897908869795113,0.027886182426085305,0.08242896578925907,0.04535218981591773,0.03,-51.057655334472656,central,2,0.0,4.0,4.0,,,-0.02211314582307387,0.021701071386256657,0.02,-51.09781265258789,2.0,2.0
LHCENT2,central,2,0.0,6.0,6.0,-0.038366735831628515,-0.007109610287679398,-0.13623558621699458,-0.10132914082900962,0.03,-50.610626220703125,central,2,0.0,4.0,4.0,,,0.08035842729994713,-0.015464309145512676,0.02,-50.768592834472656,2.0,2.0
VP2_adPN,central,2,0.0,6.0,6.0,-0.19784391461972523,0.0377306922616197,0.07590019524528055,0.009814162003905386,0.03,-51.3166389465332,central,2,0.0,4.0,4.0,,,0.0880365049453183,-0.09114567613388525,0.02,-51.22609329223633,2.0,2.0
MBON05,central,2,0.0,6.0,6.0,-0.22640770538328317,-0.027921309433483178,0.10161520012198978,-0.014890582748173705,0.03,-51.511173248291016,central,2,0.0,2.0,2.0,,,0.06126576783256843,-0.030205679475515255,0.01,-51.33757781982422,4.0,4.0
