label,target_mean_rate_hz,no_target_mean_rate_hz,target_minus_no_target_hz,abs_target_minus_no_target_hz
CB0197,46.24999237060547,45.99999237060547,0.25,0.25
DNp18,42.24999237060547,42.24999237060547,0.0,0.0
LHAV2g2,30.79999542236328,30.837495803833008,-0.03750038146972656,0.03750038146972656
DNpe040,19.749998092651367,21.749996185302734,-1.9999980926513672,1.9999980926513672
DNb09,17.749998092651367,15.249998092651367,2.5,2.5
DNpe031,16.374998092651367,15.999998092651367,0.375,0.375
LPT30,14.749998092651367,0.4999999701976776,14.24999812245369,14.24999812245369
LHAV2g1b,14.499998092651367,14.999998092651367,-0.5,0.5
DNp71,7.749999046325684,4.749999523162842,2.999999523162842,2.999999523162842
LHCENT13,7.649999141693115,7.799999237060547,-0.15000009536743164,0.15000009536743164
DNae002,7.499999046325684,6.249999046325684,1.25,1.25
CB1989,5.999999046325684,5.749999523162842,0.2499995231628418,0.2499995231628418
DNg97,4.249999523162842,5.249999523162842,-1.0,1.0
DNp43,3.999999761581421,0.4999999701976776,3.4999997913837433,3.4999997913837433
CB0965,3.249999761581421,2.3333332538604736,0.9166665077209473,0.9166665077209473
DNpe016,2.999999761581421,2.999999761581421,0.0,0.0
DNp103,2.749999761581421,4.999999523162842,-2.249999761581421,2.249999761581421
LC13,2.5907142162323,1.8726189136505127,0.7180953025817871,0.7180953025817871
DNp35,1.2499998807907104,2.999999761581421,-1.7499998807907104,1.7499998807907104
DNb01,0.9999999403953552,0.7499999403953552,0.25,0.25
DNpe056,0.7499999403953552,1.7499998807907104,-0.9999999403953552,0.9999999403953552
AVLP091,0.2499999850988388,1.4999998807907104,-1.2499998956918716,1.2499998956918716
DNp06,0.2499999850988388,0.4999999701976776,-0.2499999850988388,0.2499999850988388
PS180,0.2499999850988388,0.2499999850988388,0.0,0.0
cM15,0.2499999850988388,0.2499999850988388,0.0,0.0
PLP165,0.2083333134651184,0.3333333134651184,-0.125,0.125
AVLP283,0.1249999925494194,0.1874999850988388,-0.0624999925494194,0.0624999925494194
PVLP112b,0.0624999962747097,0.0,0.0624999962747097,0.0624999962747097
"AVLP096,AVLP256",0.0,0.0,0.0,0.0
AVLP370a,0.0,0.0,0.0,0.0
CB0969,0.0,0.0,0.0,0.0
CB1000,0.0,0.0,0.0,0.0
CB1505,0.0,0.0,0.0,0.0
CB1916,0.0,0.0,0.0,0.0
CB2856,0.0,0.0,0.0,0.0
CB2874,0.0,0.0,0.0,0.0
CB3002,0.0,0.0,0.0,0.0
CB3176,0.0,0.0,0.0,0.0
CB3482,0.0,0.0,0.0,0.0
CL294,0.0,0.0,0.0,0.0
DNp09,0.0,0.0,0.0,0.0
DNp69,0.0,0.0,0.0,0.0
LT59,0.0,0.0,0.0,0.0
LTe16,0.0,0.0,0.0,0.0
MeLp1,0.0,0.0,0.0,0.0
OA-AL2i1,0.0,0.0,0.0,0.0
PLP175,0.0,0.0,0.0,0.0
cML02,0.0,0.0,0.0,0.0
