pre_root_id,post_root_id,weight
10444,800340,359
11563,800313,353
10444,800345,344
10030,800426,339
512071,800426,335
17198,800977,328
10141,800206,320
17198,903604,306
513052,800373,289
10160,800135,289
10038,800313,271
10444,800318,263
10038,800596,252
10449,804217,251
800099,800977,251
10895,903819,248
17198,800081,248
555457,800345,242
10045,800716,236
800099,902667,233
10885,801246,222
10141,800373,221
10030,800622,220
10056,800434,220
13759,905217,219
17198,800434,218
10056,800618,216
17967,800144,214
10783,800426,213
17198,800256,213
10030,800373,210
523769,800561,209
11657,904813,209
800845,801530,209
15705,800135,209
17198,903366,205
13130,800977,204
11575,800089,203
10177,801666,202
10124,800345,202
12089,801576,202
10544,801214,201
10449,904989,197
10030,800461,196
10177,904831,196
10360,801437,195
923203,802016,194
10482,801214,194
10440,801510,193
521445,802335,193
11821,800757,192
10038,800687,192
10442,801052,191
10038,800206,191
10160,801171,191
10216,800162,189
10218,801252,189
10449,803666,188
555457,801296,188
513052,800206,188
16536,800438,188
10885,800461,187
10218,801246,185
10482,934591,185
10535,800687,185
12224,911639,184
10177,801235,184
10440,902504,184
10668,800596,183
800099,903366,183
10853,800879,182
10449,804572,182
13030,800622,182
10444,800716,181
10760,800999,181
15821,903819,180
10030,902880,180
10506,800461,180
10449,804027,180
10535,801027,178
10038,801027,177
10301,800716,177
256420,800296,177
11575,800216,175
10045,902504,175
13652,800565,174
11575,800837,173
17198,902667,173
153028,800072,173
10506,903602,172
256420,800434,172
800099,801728,172
10048,800373,171
10218,800430,171
524225,800976,170
10056,800685,170
10444,902520,169
11881,801214,169
10444,800353,168
10221,800207,168
29086,801246,167
10056,800009,167
10056,801235,167
17198,800296,166
10885,801252,166
10713,801863,165
10216,800117,163
256420,800685,163
10030,903602,163
10482,814625,163
11575,800296,162
10589,801823,162
25985,800211,160
10056,800296,160
10131,800135,159
11074,800300,159
10411,800618,159
519460,905415,158
10247,802046,158
11198,800618,157
230783,800618,157
10601,805329,157
523769,800511,156
10090,800073,156
11066,801085,156
13030,800461,156
10177,934752,155
10601,904126,155
10674,814356,155
10056,800173,155
10301,800896,154
519460,800737,154
62405,802046,154
29086,902880,154
12306,904800,153
11127,800022,153
10732,804396,153
10366,811088,153
153028,929612,153
11078,802046,152
506334,801962,152
10056,801804,151
12447,800622,151
10482,801027,151
513052,800002,151
10543,800149,151
10601,804020,150
10360,800687,150
11881,800539,150
10038,801214,150
516170,801085,150
10360,905009,149
10813,800924,149
10895,801478,148
13030,903602,148
512006,805191,148
10971,800426,148
13278,800115,148
16079,800306,148
10895,801116,148
25985,902520,147
523769,800461,147
555457,802025,147
12374,800148,147
10045,902501,147
15720,800596,147
11657,802016,146
10813,802180,146
16856,801252,146
10247,903819,145
17198,800072,145
11527,800286,145
10713,800002,144
10394,800267,144
10543,902529,144
10440,804028,144
512006,803874,143
10247,801027,143
10394,800472,142
10853,800583,141
11458,800490,141
516170,800897,141
10056,800003,140
10030,801252,140
12102,801320,140
10444,801296,140
13633,800977,140
12581,801302,140
800099,801149,139
10668,801027,139
10177,805061,138
230783,800286,138
10444,800211,138
10218,903602,138
923203,904813,138
10280,904036,138
11598,801214,138
11797,801478,137
11674,801347,137
10281,903604,137
10856,800494,137
153028,800286,137
10141,802951,137
518177,801014,137
29086,801252,137
11063,801791,137
25985,800375,136
10885,902880,136
10056,801050,135
10221,800551,135
10045,818556,135
14887,800737,135
10218,800461,135
13030,905415,134
12266,800977,134
10482,800687,134
10967,800156,134
11006,800119,134
525454,800003,134
10177,804803,134
10444,800896,133
10160,800969,133
10118,800373,133
10979,802283,131
10580,806440,131
522961,904036,131
11411,801047,131
10717,800296,130
10048,800461,130
10274,800340,129
11881,800687,129
525960,800646,129
17198,800286,129
10763,801246,129
13759,902668,129
12635,902501,128
10544,934591,128
29086,800461,128
11598,801676,128
800868,800206,128
10124,801296,127
14098,801909,127
555726,800646,127
521445,801106,127
506334,803227,127
10444,800375,127
10544,800539,127
230783,800685,126
16221,903091,126
10280,802751,126
15653,903834,126
11881,801752,126
14098,800163,126
11074,801312,125
11259,801347,125
10160,801432,125
10967,801378,125
10038,801752,124
13130,902667,124
12189,800072,124
10440,804875,124
15653,800116,124
11575,800434,124
16221,905090,123
10444,800879,123
10442,801252,123
10056,911967,123
10030,905415,123
10090,904989,123
10274,800353,123
11881,800596,122
555457,903545,122
10587,904707,122
10030,801246,122
10544,800687,122
13759,800239,122
12378,802046,121
10218,800259,121
10213,800018,121
10394,801308,121
523769,905415,121
10030,801598,121
512006,800963,121
10045,800114,121
10045,800896,121
11288,801214,121
10301,801382,121
10601,804977,121
13130,903366,121
12512,800069,121
17198,929612,120
12266,800494,120
10589,802377,120
11575,801728,120
10444,903545,120
10197,800373,120
10416,800631,120
10760,902501,120
11063,802013,119
10104,800147,119
10045,801382,119
11575,800233,118
555457,801429,118
13514,800313,118
13218,800837,117
10221,800638,117
10506,800141,117
521445,800816,117
11233,800313,117
11332,801246,117
521377,904587,117
29086,801598,117
10280,802944,117
10026,801752,117
523378,800426,117
13570,800106,117
10177,801804,117
525454,800089,116
11332,802951,116
13633,800494,116
10394,804787,116
12647,902529,116
15705,800236,115
10247,800687,115
10160,903602,115
10967,800287,115
10038,934591,115
10853,800716,115
10131,800188,115
10274,800318,115
10440,801638,115
11575,800162,115
555726,903602,114
12038,800162,114
10366,913397,114
230783,800663,114
11411,800461,114
11881,934591,114
10247,802324,113
10247,800716,113
10506,804385,113
11256,801252,113
13805,801382,113
92936,800432,113
10668,800687,113
523769,800856,113
12102,800354,112
12348,801085,112
13570,801002,112
10038,800539,112
11074,904785,112
10575,800846,112
15800,902529,112
17198,800089,112
14271,905415,111
10223,903456,111
13130,801728,111
15720,800687,111
10090,800147,111
10045,805626,110
518177,800148,110
12447,800461,110
12102,800398,110
10589,903611,110
800868,801478,110
10760,801027,109
522969,904800,109
11074,803344,109
11133,809167,109
11411,902796,109
11411,801246,109
29086,800622,109
10360,800149,109
506334,802951,109
11948,800382,109
10668,800149,109
513052,800117,109
16746,800263,108
506334,802859,108
11704,800383,108
10048,801598,108
521445,800387,108
10131,903602,107
15286,800963,107
10589,802888,107
10760,801371,107
11513,904036,107
10247,902504,107
12860,800134,107
15705,800490,106
10281,800256,106
256420,800173,106
13212,902476,106
11127,801822,106
10354,800132,105
10354,800022,105
800099,800863,105
10442,801666,105
13278,801763,105
10394,800382,105
11066,800897,105
10853,800896,105
10104,800468,105
10048,800226,105
10281,800081,105
10056,801318,105
10575,904022,105
10065,800206,105
512006,929704,104
10056,800286,104
12394,800565,104
10967,913931,104
12485,800737,104
10873,912122,104
14067,801432,104
10131,800434,104
11458,800236,104
10360,800423,104
11310,801091,104
11502,913397,104
11872,902476,103
11704,903429,103
10506,805195,103
525454,800286,103
11674,801186,103
13218,807298,103
10151,800804,103
10703,800163,103
10727,801432,103
17967,902395,102
15988,800345,102
11067,801171,102
11198,904989,102
13633,800345,102
522961,904246,102
10895,800308,102
522961,802843,102
15705,801765,102
11575,800685,102
11256,802383,102
10959,801542,102
11066,934591,101
11951,800207,101
10247,800452,101
10056,903366,101
10853,801061,101
12214,800618,101
12465,803540,101
17198,800003,101
13922,802134,101
11131,802012,101
10416,800022,101
10038,800149,101
10959,913931,101
10520,800879,101
10247,805439,100
12794,800311,100
10030,802499,100
11131,801542,100
13570,803601,100
10440,801068,100
14375,801432,100
11500,800782,100
10535,902552,100
11513,800383,100
11256,803035,100
525454,800837,100
12266,800119,100
10482,800497,100
10045,800288,100
10221,800782,100
10360,801027,99
519460,802134,99
10192,804884,99
30465,934591,99
11259,801186,99
11821,800344,99
10506,808158,99
10649,803210,99
11859,805553,99
512006,801166,99
11427,800561,99
12266,800345,99
555726,801252,99
10425,904036,99
11310,912085,99
10440,804943,99
13006,805376,99
25861,801593,99
10856,800233,99
12224,800430,99
10394,805684,98
67982,802376,98
10727,800373,98
10885,903602,98
10544,801752,98
11374,800787,98
11006,800103,98
16746,800977,98
521445,911639,98
10601,800468,98
10304,801432,98
10216,800490,98
11288,801085,98
11986,902529,98
13805,800375,97
11131,801378,97
10090,904246,97
518177,902275,97
10527,905415,97
13278,800567,97
10394,801147,97
10045,801882,97
10433,802843,97
11310,800387,97
513056,902529,96
10026,800206,96
10026,926154,96
10713,802859,96
12348,801214,96
55021,800163,96
555457,800446,96
13008,800453,96
10394,913931,96
10177,801050,96
11131,800264,96
11310,911639,96
15148,800118,96
10247,800896,96
10280,802843,96
10301,818556,95
524225,814625,95
10577,800461,95
33335,800562,95
11881,814625,95
11074,802324,95
10417,811088,95
10433,904246,95
10124,903545,95
13186,800173,95
10464,800595,95
11513,904246,95
12177,906107,95
522961,802751,95
11411,801252,94
12189,800286,94
11290,800001,94
10433,904036,94
12619,912122,94
10045,800375,94
10577,912122,94
11177,800313,94
10045,802438,94
10118,904246,94
12089,801072,94
10247,800207,94
11931,904640,94
10717,800685,94
17198,800009,94
512938,802324,94
10247,800638,94
12550,800286,94
13218,800089,94
10979,800684,94
522961,802944,93
13096,800737,93
11078,800687,93
555293,801725,93
12550,800072,93
512006,801050,93
11006,804337,93
513052,800162,93
13030,802134,93
13030,800426,93
10649,904245,93
10026,800687,93
513052,806894,93
519771,800002,92
11127,903366,92
12447,902512,92
523769,800406,92
512006,803961,92
26385,800737,92
10433,802944,92
10959,800156,92
520300,802638,92
10045,802324,92
11598,800311,92
13952,800072,92
11527,800116,92
10805,802134,92
17198,800685,91
12447,903602,91
14096,801478,91
11304,903602,91
14804,800211,91
10853,801382,91
12038,800613,91
11948,913931,91
10668,800313,91
10131,801787,91
11765,913931,91
12189,800557,91
10117,800206,91
10885,800622,91
13633,800832,91
10446,800085,91
10360,801752,90
11821,800269,90
10643,800503,90
13218,804307,90
10959,801308,90
519771,903611,90
10853,800638,90
12512,940699,90
525960,801246,90
12743,801437,90
14247,804469,90
11258,801050,90
11881,801027,90
256420,800009,90
10177,801457,90
10160,928274,90
10216,800236,90
10587,800118,90
802893,10581,90
15825,802132,90
10124,801429,90
11513,800147,90
523769,800622,89
11066,801027,89
29086,800430,89
16079,800561,89
10760,934591,89
10223,800325,89
10056,802743,89
12069,800737,89
10056,808289,89
10813,803825,89
525454,800009,89
11527,801785,89
12894,903573,89
10030,800002,89
10104,800073,89
10377,800618,89
10959,800472,89
523769,800356,89
230783,800527,88
11028,902501,88
13130,800863,88
13805,800896,88
10520,800114,88
10464,802681,88
10544,800596,88
11127,801050,88
10873,801252,88
15653,804647,88
13570,903903,88
17198,800396,88
532050,800051,88
10295,903570,88
10587,800685,88
10106,808449,88
10732,800804,88
10482,800596,88
10885,801598,88
11421,801357,87
10281,800072,87
11310,800699,87
15148,800174,87
10853,800119,87
13065,802668,87
525960,801252,87
12465,803027,87
523769,801598,87
10160,907741,87
10394,802012,87
10442,903602,87
11066,801214,87
11513,800073,87
12044,800211,87
10394,803679,87
10416,801302,87
12044,800375,87
12894,801382,87
512938,802046,87
11482,801261,87
524225,926154,86
519460,903602,86
12364,801443,86
529488,801431,86
10247,800345,86
10582,934591,86
10577,801443,86
10959,800267,86
11951,800088,86
11063,942770,86
10444,800114,86
10544,802046,86
17198,800837,86
512071,800769,86
10118,800490,86
525454,929612,86
13805,800211,86
946718,800461,86
575669,902476,85
10192,903819,85
10221,800304,85
10131,912122,85
10442,800832,85
15821,800782,85
520300,800977,85
10090,800383,85
10440,801882,85
11704,904036,85
10763,802951,85
15825,803600,85
520300,934092,85
12075,800211,85
10177,801713,85
10056,800132,85
12102,800001,85
10045,800345,85
10959,800382,85
10030,801347,84
513052,928274,84
10247,801552,84
11198,803477,84
10131,800613,84
10038,801186,84
13795,903602,84
525960,903602,84
188947,801111,84
555850,800174,84
11427,800306,84
10856,804347,84
10580,807139,84
13633,800119,84
10124,802025,84
10464,800453,83
10433,802751,83
12635,904785,83
555726,801246,83
10959,800240,83
11411,903602,83
12170,805501,83
10280,800898,83
10213,804396,83
555850,800173,83
10151,802739,83
522961,800073,83
12256,800567,83
12752,801811,83
10734,800114,83
10056,800174,83
10247,800650,83
12753,801478,83
113166,800311,83
11500,903819,83
14399,800595,83
11575,802595,82
11704,800073,82
10394,800156,82
12102,800171,82
521445,801453,82
523769,903602,82
10118,904036,82
11421,801115,82
522432,800116,82
11006,805626,82
11889,800663,82
11502,800220,82
256420,800426,82
520485,800473,82
11078,801027,82
10577,903602,82
15847,801443,82
10090,800597,82
513052,803158,82
15988,801349,82
10895,800304,82
10543,801431,82
10104,800898,82
11074,933309,81
10813,803537,81
10577,801252,81
15720,801049,81
10247,801049,81
12670,904800,81
10131,801873,81
10853,802025,81
11600,802784,81
56057,801047,81
16079,800631,81
10218,801047,81
11427,801111,81
13006,800121,81
10856,801568,81
10141,800207,81
13570,904743,81
10732,804788,80
10686,800441,80
10056,800663,80
10959,801147,80
12378,800596,80
11575,802013,80
11575,800863,80
23667,800737,80
10177,800215,80
11078,934591,80
13218,802553,80
13218,801593,80
11500,800304,80
11598,800687,80
12325,800313,80
11500,801116,80
10247,803587,80
12490,801124,80
19428,801002,80
13570,800382,80
10280,801085,80
11459,802909,80
11310,800707,80
523039,802324,80
12266,800832,80
10301,800345,80
10056,803256,79
10967,801542,79
525454,800216,79
11177,902476,79
10885,802383,79
11256,912122,79
66284,801027,79
13759,800675,79
14098,902672,79
10177,804764,79
11575,800494,79
10885,912122,79
10216,802821,79
11951,801849,79
800099,904736,79
10520,800583,79
10520,800340,79
10959,803679,79
10582,906407,79
20131,904800,79
10394,801542,79
11713,801441,79
11131,800287,78
256420,800135,78
29086,903602,78
10649,800354,78
10280,800147,78
11713,800224,78
10674,801014,78
802893,800483,78
513052,800562,78
11965,935843,78
518177,800254,78
10760,800716,78
12767,801431,78
521445,801822,78
10959,804787,78
10247,800313,78
