pre_root_id,post_root_id,weight
10765,800329,473
10930,800323,452
10765,800323,428
10930,800329,397
10444,800340,359
10444,800345,344
11116,800323,337
17198,800977,328
17198,903604,306
513052,800373,289
10160,800135,289
523998,800329,282
10543,904639,281
519460,924901,279
523998,800323,278
10444,800318,263
10038,800596,252
800099,800977,251
10354,801861,249
10895,903819,248
17198,800081,248
555457,800345,242
10045,800716,236
800099,902667,233
518177,803105,223
10885,801246,222
10141,800373,221
10030,800622,220
10446,801982,220
10056,800434,220
13759,905217,219
17198,800434,218
11116,800329,215
17198,800256,213
10030,800373,210
523769,800561,209
11657,904813,209
15705,800135,209
10672,801273,208
17198,903366,205
13130,800977,204
11575,800089,203
10124,800345,202
10672,800842,202
12089,801576,202
10544,801214,201
555472,801273,197
10449,904989,197
10030,800461,196
10177,904831,196
10360,801437,195
923203,802016,194
555472,800842,194
10482,801214,194
521445,802335,193
10765,800145,192
10038,800687,192
519460,802308,192
10160,801171,191
10216,800162,189
555457,801296,188
10885,800461,187
16864,802063,186
10218,801246,185
10535,800687,185
12224,911639,184
10177,801235,184
10440,902504,184
10668,800596,183
800099,903366,183
10853,800879,182
13030,800622,182
10444,800716,181
15821,903819,180
10506,800461,180
12307,800920,179
10535,801027,178
10038,801027,177
10301,800716,177
256420,800296,177
11575,800216,175
10045,902504,175
13652,800565,174
11575,800837,173
17198,902667,173
153028,800072,173
10674,932493,172
10506,903602,172
256420,800434,172
800099,801728,172
10048,800373,171
10218,800430,171
12670,802051,171
523998,804090,171
524225,800976,170
10056,800685,170
10444,902520,169
524001,926518,169
11881,801214,169
12714,800842,168
10444,800353,168
10221,800207,168
29086,801246,167
10056,801235,167
10464,803040,167
17198,800296,166
10118,801828,166
10216,800117,163
256420,800685,163
10030,903602,163
10482,814625,163
11575,800296,162
10589,801823,162
11438,924883,161
25985,800211,160
10056,800296,160
10131,800135,159
519460,905415,158
10247,802046,158
12714,801273,157
523769,800511,156
10711,800842,156
10090,800073,156
13030,800461,156
10065,926518,156
10177,934752,155
10674,814356,155
523998,802304,155
10765,804090,155
10301,800896,154
519460,800737,154
62405,802046,154
12306,904800,153
11127,800022,153
575669,904423,153
10366,811088,153
153028,929612,153
10464,801705,152
11078,802046,152
10056,801804,151
523998,804350,151
12447,800622,151
10482,801027,151
10846,904042,151
513052,800002,151
10543,800149,151
523998,804639,151
10360,800687,150
11600,802766,150
10952,801125,150
10038,801214,150
10360,905009,149
11814,924901,149
10895,801478,148
10543,802092,148
13030,903602,148
512006,805191,148
10895,801116,148
25985,902520,147
523769,800461,147
555457,802025,147
15720,800596,147
11657,802016,146
10813,802180,146
10366,801805,146
10247,903819,145
10930,800178,145
17198,800072,145
11527,800286,145
10713,800002,144
11116,804009,144
10274,800323,144
11653,802541,144
10543,902529,144
10247,801027,143
12362,801404,143
10765,801247,142
10853,800583,141
11458,800490,141
10985,801404,140
12102,801320,140
10444,801296,140
13633,800977,140
10846,801125,140
10930,803766,140
800099,801149,139
24232,803860,139
10668,801027,139
10464,803105,139
11600,904915,138
10177,805061,138
230783,800286,138
10444,800211,138
10218,903602,138
923203,904813,138
10280,904036,138
11598,801214,138
11797,801478,137
10281,903604,137
153028,800286,137
10141,802951,137
11063,801791,137
25985,800375,136
10765,800178,136
10711,801273,136
10056,801050,135
13065,802038,135
10221,800551,135
14887,800737,135
10218,800461,135
11116,929472,134
13030,905415,134
12266,800977,134
10482,800687,134
10967,800156,134
11006,800119,134
10177,804803,134
10444,800896,133
11116,804639,133
10118,800373,133
11057,801404,132
10952,904042,131
10580,806440,131
522961,904036,131
10717,800296,130
10048,800461,130
10274,800340,129
11881,800687,129
17198,800286,129
10763,801246,129
13759,902668,129
29086,800461,128
11598,801676,128
10354,904915,128
801562,806333,128
10930,801662,128
10124,801296,127
11020,801828,127
10056,800329,127
14098,801909,127
521445,801106,127
10444,800375,127
230783,800685,126
16221,903091,126
10280,802751,126
10884,924901,126
11881,801752,126
11074,801312,125
10160,801432,125
10967,801378,125
10379,800842,124
523998,801919,124
10038,801752,124
10446,802038,124
92936,932493,124
13130,902667,124
11002,924901,124
12189,800072,124
10440,804875,124
15653,800116,124
11575,800434,124
10444,800879,123
11116,803766,123
10056,911967,123
10030,905415,123
10090,904989,123
10274,800353,123
11881,800596,122
10930,803438,122
555457,903545,122
10587,904707,122
10030,801246,122
10544,800687,122
20774,803007,122
13759,800239,122
12378,802046,121
10218,800259,121
10213,800018,121
523769,905415,121
10765,804350,121
10030,801598,121
10045,800896,121
11288,801214,121
13133,804467,121
10301,801382,121
13130,903366,121
12512,800069,121
11600,903400,120
17198,929612,120
11075,904915,120
11116,804350,120
575082,926518,120
10589,802377,120
11575,801728,120
10444,903545,120
10197,800373,120
10416,800631,120
11063,802013,119
10104,800147,119
10045,801382,119
11575,800233,118
524001,801828,118
555457,801429,118
14141,802051,118
13218,800837,117
10221,800638,117
10930,800145,117
10506,800141,117
521445,800816,117
11332,801246,117
521377,904587,117
29086,801598,117
10280,802944,117
10026,801752,117
11573,801828,117
13570,800106,117
10177,801804,117
525454,800089,116
11332,802951,116
12647,902529,116
15705,800236,115
10247,800687,115
10160,903602,115
10853,800716,115
10131,800188,115
10274,800318,115
10440,801638,115
11575,800162,115
555726,903602,114
12038,800162,114
10366,913397,114
10379,801273,114
11411,800461,114
10247,802324,113
10247,800716,113
523329,800842,113
13805,801382,113
92936,800432,113
10668,800687,113
523769,800856,113
12102,800354,112
13570,801002,112
10236,802038,112
12982,904915,112
10575,800846,112
15800,902529,112
17198,800089,112
523998,801247,112
523998,801245,112
14271,905415,111
13130,801728,111
15720,800687,111
13065,801982,111
10065,801828,111
10090,800147,111
11613,800145,111
10045,805626,110
11600,801861,110
10846,904957,110
12447,800461,110
12102,800398,110
11392,908183,110
17093,803040,110
800868,801478,110
10760,801027,109
522969,904800,109
11411,902796,109
11411,801246,109
29086,800622,109
10360,800149,109
506334,802951,109
10668,800149,109
513052,800117,109
575669,802038,108
16746,800263,108
521262,904639,108
11116,804949,108
11704,800383,108
15811,803105,108
10048,801598,108
521445,800387,108
10131,903602,107
10760,801371,107
11513,904036,107
10247,902504,107
12860,800134,107
15705,800490,106
10281,800256,106
10589,800574,106
13212,902476,106
11127,801822,106
10354,800022,105
800099,800863,105
13278,801763,105
10853,800896,105
11116,803438,105
10104,800468,105
10236,801273,105
10281,800081,105
10575,904022,105
10056,800286,104
12394,800565,104
12485,800737,104
10873,912122,104
14067,801432,104
10131,800434,104
11458,800236,104
12030,802038,104
11310,801091,104
11502,913397,104
11872,902476,103
11704,903429,103
11020,926518,103
523998,903085,103
11475,800178,103
13065,903400,103
525454,800286,103
10151,800804,103
10727,801432,103
10924,904639,103
11116,804090,102
15988,800345,102
11067,801171,102
11198,904989,102
