root_id,region,entry_nerve,exit_nerve,flow,super_class,cell_class,cell_type,side
10001,,,,efferent,descending,lt,DNp01,R
10010,,,,efferent,descending,lt,DNp01,L
10026,,,,efferent,descending,xn,DNp18,R
10030,,,,efferent,descending,xl,pIP1,L
10033,LB,,,efferent,descending,xn,DNg56,R
10038,,,,efferent,descending,xl,pIP1,R
10045,,,,efferent,descending,xl,DNg100,L
10048,,,,efferent,descending,xn,DNp18,L
10054,,,,efferent,descending,xn,DNpe013,R
10056,,,,efferent,descending,xl,DNg100,R
10063,,,,efferent,descending,xn,DNp27,R
10065,,,,efferent,descending,xn,DNb05,R
10068,,,,efferent,descending,xn,DNp30,R
10090,,,,efferent,descending,xn,aSP22,L
10091,,,,efferent,descending,lt,DNpe042,L
10104,,,,efferent,descending,xn,aSP22,R
10106,,,,efferent,descending,xn,DNp11,R
10117,PC,,,efferent,descending,lt,DNp02,R
10118,,,,efferent,descending,xn,DNb05,L
10123,,,,efferent,descending,xn,DNg30,L
10124,MX,,,efferent,descending,xl,DNg105,L
10131,MX,,,efferent,descending,xl,DNg74_a,R
10141,,,,efferent,descending,xn,DNg15,L
10143,,,,efferent,descending,xn,DNp30,L
10151,LB,,,efferent,descending,xl,DNge103,R
10160,MX,,,efferent,descending,xl,DNg90,L
10162,,,,efferent,descending,xn,DNp20,L
10163,,,,efferent,descending,fl,DNge036,L
10177,LB,,,efferent,descending,xl,DNg16,L
10192,,,,efferent,descending,xl,DNg75,L
10195,,,,efferent,descending,xn,DNp29,R
10197,PC,,,efferent,descending,lt,DNp02,L
10213,,,,efferent,descending,xl,DNge083,R
10216,LB,,,efferent,descending,xl,DNge037,R
10218,,,,efferent,descending,xl,DNg35,R
10221,LB,,,efferent,descending,xl,DNge037,L
10223,,,,efferent,descending,xn,DNpe056,L
10228,PC,,,efferent,descending,lt,DNp06,L
10234,PC,,,efferent,descending,xn,DNp35,L
10236,MD,,,efferent,descending,xn,DNg99,R
10237,,,,efferent,descending,xn,DNg30,R
10244,,,,efferent,descending,xn,DNp55,L
10245,,,,efferent,descending,xn,DNp36,R
10247,MX,,,efferent,descending,xl,DNg74_a,L
10249,CB,,,efferent,descending,ut,DNp31,L
10259,,,,efferent,descending,xn,DNp11,L
10264,CB,,,efferent,descending,ut,DNp31,R
10274,GNG,,,efferent,descending,xl,DNg108,L
10280,,,,efferent,descending,xn,DNp47,R
10281,GNG,,,efferent,descending,xl,DNg108,R
10283,,,,efferent,descending,lt,DNp103,R
10295,TR,,,efferent,descending,xl,DNg34,L
10296,,,,efferent,descending,xl,DNge054,R
10301,,,,efferent,descending,xl,DNge050,L
10304,LB,,,efferent,descending,xl,DNge041,R
10341,,,,efferent,descending,xn,DNp19,L
10342,,,,efferent,descending,xn,DNc02,R
10354,,,,efferent,descending,xn,DNp73,R
10360,,,,efferent,descending,xl,DNa02,R
10361,MX,,,efferent,descending,lt,DNg40,L
10366,,,,efferent,descending,lt,DNp59,R
10377,,,,efferent,descending,xl,DNge054,L
10379,,,,efferent,descending,xn,DNa10,R
10384,PC,,,efferent,descending,xn,DNp63,R
10388,,,,efferent,descending,xn,DNp13,R
10394,MX,,,efferent,descending,xn,DNg98,L
10411,,,,efferent,descending,xn,DNb09,R
10416,,,,efferent,descending,xl,DNde002,L
10417,,,,efferent,descending,lt,DNp103,L
10425,PC,,,efferent,descending,xl,DNp10,L
10433,PC,,,efferent,descending,xl,DNp10,R
10440,LB,,,efferent,descending,xl,DNg16,R
10442,,,,efferent,descending,xl,DNa01,L
10444,,,,efferent,descending,xl,DNge035,L
10446,,,,efferent,descending,xn,DNp73,L
10449,,,,efferent,descending,xl,DNpe025,L
10458,,,,efferent,descending,xn,DNp13,L
10460,,,,efferent,descending,xn,DNa09,R
10464,,,,efferent,descending,xn,DNp08,R
10469,,,,efferent,descending,ut,DNbe001,L
10482,,,,efferent,descending,xl,DNg35,L
10499,,,,efferent,descending,fl,DNge039,R
10504,,,,efferent,descending,xn,DNp62,R
10506,,,,efferent,descending,xl,DNg37,R
10520,MX,,,efferent,descending,xl,DNg74_b,L
10527,,,,efferent,descending,xn,DNpe017,L
10535,,,,efferent,descending,xl,DNg37,L
10536,MX,,,efferent,descending,xn,DNg29,L
