label,duration_ms,input_kind,applied_rates,forward_left_hz,forward_right_hz,turn_left_hz,turn_right_hz,reverse_hz,first_spike_forward_left_ms,first_spike_forward_right_ms,first_spike_turn_left_ms,first_spike_turn_right_ms,first_spike_reverse_ms
strict_observed_mean_20ms,20.0,public_pool_rates,"{""mech_bilateral"": 14.681816067086306, ""vision_bilateral"": 77.70888536678805}",0.0,0.0,0.0,0.0,0.0,,,,,
strict_observed_mean_100ms,100.0,public_pool_rates,"{""mech_bilateral"": 14.681816067086306, ""vision_bilateral"": 77.70888536678805}",0.0,0.0,0.0,0.0,0.0,,,,,
strict_observed_mean_1000ms,1000.0,public_pool_rates,"{""mech_bilateral"": 14.681816067086306, ""vision_bilateral"": 77.70888536678805}",0.0,0.0,7.0,1.5,0.0,,,113.7,318.1,
strict_observed_max_1000ms,1000.0,public_pool_rates,"{""mech_bilateral"": 65.25330737061626, ""vision_bilateral"": 77.78225377934483}",0.0,0.0,8.5,0.0,0.0,,,62.400000000000006,,
public_lc4_only_200hz_1000ms,1000.0,public_pool_rates,"{""mech_bilateral"": 0.0, ""vision_bilateral"": 200.0}",0.0,0.0,15.5,1.0,0.75,,,49.1,335.0,298.3
public_jon_only_300hz_1000ms,1000.0,public_pool_rates,"{""mech_bilateral"": 300.0, ""vision_bilateral"": 0.0}",9.5,0.0,4.5,0.0,0.0,62.7,,106.7,,
public_lc4_200hz_plus_jon_300hz_1000ms,1000.0,public_pool_rates,"{""mech_bilateral"": 300.0, ""vision_bilateral"": 200.0}",0.0,0.0,13.5,2.0,0.0,,,50.300000000000004,291.0,
public_p9_direct_100hz_1000ms,1000.0,direct_neuron_rates_hz,"{""720575940627652358"": 100.0, ""720575940635872101"": 100.0}",33.0,32.5,5.0,0.5,0.0,12.3,10.100000000000001,39.6,370.70000000000005,
public_p9_direct_100hz_plus_lc4_200hz_1000ms,1000.0,direct_neuron_rates_hz,"{""720575940603637438"": 200.0, ""720575940605598892"": 200.0, ""720575940610522009"": 200.0, ""720575940611134833"": 200.0, ""720575940612093351"": 200.0, ""720575940612323025"": 200.0, ""720575940612380723"": 200.0, ""720575940612498129"": 200.0, ""720575940612518055"": 200.0, ""720575940612580977"": 200.0, ""720575940612968421"": 200.0, ""720575940613256863"": 200.0, ""720575940613260959"": 200.0, ""720575940613609484"": 200.0, ""720575940613638041"": 200.0, ""720575940614572742"": 200.0, ""720575940614582946"": 200.0, ""720575940614914107"": 200.0, ""720575940615053580"": 200.0, ""720575940615127227"": 200.0, ""720575940615232217"": 200.0, ""720575940615462587"": 200.0, ""720575940615575007"": 200.0, ""720575940616066705"": 200.0, ""720575940616713355"": 200.0, ""720575940617026260"": 200.0, ""720575940617176321"": 200.0, ""720575940617266722"": 200.0, ""720575940617348379"": 200.0, ""720575940618002644"": 200.0, ""720575940618234704"": 200.0, ""720575940618234715"": 200.0, ""720575940618266459"": 200.0, ""720575940618267227"": 200.0, ""720575940618275520"": 200.0, ""720575940618312606"": 200.0, ""720575940618676440"": 200.0, ""720575940618709158"": 200.0, ""720575940618723749"": 200.0, ""720575940618807105"": 200.0, ""720575940619397542"": 200.0, ""720575940620314221"": 200.0, ""720575940620314612"": 200.0, ""720575940620731380"": 200.0, ""720575940620795728"": 200.0, ""720575940620903551"": 200.0, ""720575940621145821"": 200.0, ""720575940621522458"": 200.0, ""720575940621753579"": 200.0, ""720575940622108001"": 200.0, ""720575940622330582"": 200.0, ""720575940622531767"": 200.0, ""720575940622939836"": 200.0, ""720575940624017251"": 200.0, ""720575940624111763"": 200.0, ""720575940624790781"": 200.0, ""720575940624856762"": 200.0, ""720575940625038090"": 200.0, ""720575940625841351"": 200.0, ""720575940625845447"": 200.0, ""720575940625906702"": 200.0, ""720575940625932421"": 200.0, ""720575940625934973"": 200.0, ""720575940625991043"": 200.0, ""720575940626553596"": 200.0, ""720575940626605200"": 200.0, ""720575940626626895"": 200.0, ""720575940626916936"": 200.0, ""720575940627519107"": 200.0, ""720575940627652358"": 100.0, ""720575940628064260"": 200.0, ""720575940628081541"": 200.0, ""720575940628419527"": 200.0, ""720575940628454522"": 200.0, ""720575940628462340"": 200.0, ""720575940628518400"": 200.0, ""720575940628599895"": 200.0, ""720575940628606713"": 200.0, ""720575940628699560"": 200.0, ""720575940628891863"": 200.0, ""720575940629753807"": 200.0, ""720575940629964591"": 200.0, ""720575940630154660"": 200.0, ""720575940630484495"": 200.0, ""720575940630851036"": 200.0, ""720575940630998339"": 200.0, ""720575940631032657"": 200.0, ""720575940631338271"": 200.0, ""720575940632475449"": 200.0, ""720575940632715234"": 200.0, ""720575940632769180"": 200.0, ""720575940633013355"": 200.0, ""720575940633218863"": 200.0, ""720575940633580384"": 200.0, ""720575940634517856"": 200.0, ""720575940635835967"": 200.0, ""720575940635872101"": 100.0, ""720575940636957006"": 200.0, ""720575940638456227"": 200.0, ""720575940638496720"": 200.0, ""720575940639817947"": 200.0, ""720575940640612480"": 200.0, ""720575940641213824"": 200.0, ""720575940645821316"": 200.0, ""720575940649229433"": 200.0, ""720575940652611745"": 200.0}",12.0,30.0,14.5,1.0,0.0,12.3,10.100000000000001,49.7,761.9000000000001,
public_p9_direct_100hz_plus_jon_300hz_1000ms,1000.0,direct_neuron_rates_hz,"{""720575940602132509"": 300.0, ""720575940602506208"": 300.0, ""720575940602720940"": 300.0, ""720575940604299454"": 300.0, ""720575940604753437"": 300.0, ""720575940604973746"": 300.0, ""720575940606222428"": 300.0, ""720575940606239243"": 300.0, ""720575940606431189"": 300.0, ""720575940606611401"": 300.0, ""720575940606657493"": 300.0, ""720575940606800341"": 300.0, ""720575940608297774"": 300.0, ""720575940608742409"": 300.0, ""720575940609522461"": 300.0, ""720575940609530653"": 300.0, ""720575940609541917"": 300.0, ""720575940609543197"": 300.0, ""720575940610008217"": 300.0, ""720575940610018266"": 300.0, ""720575940611061526"": 300.0, ""720575940611783464"": 300.0, ""720575940613012959"": 300.0, ""720575940613105311"": 300.0, ""720575940613971485"": 300.0, ""720575940614026269"": 300.0, ""720575940614035485"": 300.0, ""720575940614060829"": 300.0, ""720575940614188149"": 300.0, ""720575940614351477"": 300.0, ""720575940614427195"": 300.0, ""720575940614929245"": 300.0, ""720575940615473186"": 300.0, ""720575940615809349"": 300.0, ""720575940615848788"": 300.0, ""720575940615986459"": 300.0, ""720575940616064546"": 300.0, ""720575940616589878"": 300.0, ""720575940616613022"": 300.0, ""720575940616951124"": 300.0, ""720575940617273560"": 300.0, ""720575940617524053"": 300.0, ""720575940618467195"": 300.0, ""720575940618599872"": 300.0, ""720575940618684481"": 300.0, ""720575940618888368"": 300.0, ""720575940619085397"": 300.0, ""720575940619341105"": 300.0, ""720575940620382889"": 300.0, ""720575940621097398"": 300.0, ""720575940621289537"": 300.0, ""720575940621397417"": 300.0, ""720575940621442224"": 300.0, ""720575940621521917"": 300.0, ""720575940621532413"": 300.0, ""720575940621625597"": 300.0, ""720575940621729757"": 300.0, ""720575940622179497"": 300.0, ""720575940622217992"": 300.0, ""720575940622222856"": 300.0, ""720575940622449388"": 300.0, ""720575940622892988"": 300.0, ""720575940622937528"": 300.0, ""720575940623077389"": 300.0, ""720575940623298559"": 300.0, ""720575940623791152"": 300.0, ""720575940624224408"": 300.0, ""720575940624308355"": 300.0, ""720575940624799290"": 300.0, ""720575940624915230"": 300.0, ""720575940625087546"": 300.0, ""720575940625559358"": 300.0, ""720575940625571240"": 300.0, ""720575940625703434"": 300.0, ""720575940625733960"": 300.0, ""720575940625763015"": 300.0, ""720575940625797617"": 300.0, ""720575940625885512"": 300.0, ""720575940625915338"": 300.0, ""720575940625962568"": 300.0, ""720575940626042149"": 300.0, ""720575940626557995"": 300.0, ""720575940626565455"": 300.0, ""720575940626956777"": 300.0, ""720575940627109991"": 300.0, ""720575940627493096"": 300.0, ""720575940627523584"": 300.0, ""720575940627585688"": 300.0, ""720575940627652358"": 100.0, ""720575940627704375"": 300.0, ""720575940627868471"": 300.0, ""720575940627941431"": 300.0, ""720575940628100614"": 300.0, ""720575940628101126"": 300.0, ""720575940628359017"": 300.0, ""720575940628444667"": 300.0, ""720575940628649465"": 300.0, ""720575940628935564"": 300.0, ""720575940628978409"": 300.0, ""720575940628978450"": 300.0, ""720575940629022149"": 300.0, ""720575940629055721"": 300.0, ""720575940629138959"": 300.0, ""720575940629141775"": 300.0, ""720575940629267498"": 300.0, ""720575940629386819"": 300.0, ""720575940629502009"": 300.0, ""720575940629650997"": 300.0, ""720575940629719404"": 300.0, ""720575940630020111"": 300.0, ""720575940630059847"": 300.0, ""720575940630070343"": 300.0, ""720575940630080071"": 300.0, ""720575940630122015"": 300.0, ""720575940630319671"": 300.0, ""720575940630564179"": 300.0, ""720575940630834171"": 300.0, ""720575940631098338"": 300.0, ""720575940631170346"": 300.0, ""720575940631866508"": 300.0, ""720575940632449619"": 300.0, ""720575940632767383"": 300.0, ""720575940633153375"": 300.0, ""720575940633364179"": 300.0, ""720575940634634606"": 300.0, ""720575940634923621"": 300.0, ""720575940635067034"": 300.0, ""720575940635545310"": 300.0, ""720575940635872101"": 100.0, ""720575940635968745"": 300.0, ""720575940637054835"": 300.0, ""720575940637366335"": 300.0, ""720575940637410869"": 300.0, ""720575940637632419"": 300.0, ""720575940638529525"": 300.0, ""720575940638664437"": 300.0, ""720575940638681845"": 300.0, ""720575940639410035"": 300.0, ""720575940639904475"": 300.0, ""720575940640591861"": 300.0, ""720575940641395163"": 300.0, ""720575940641921421"": 300.0, ""720575940642517284"": 300.0, ""720575940645728803"": 300.0, ""720575940647493241"": 300.0, ""720575940650244342"": 300.0, ""720575940652566177"": 300.0}",48.5,32.0,10.0,0.0,0.0,12.3,10.100000000000001,63.7,,
