name,size_bytes,digest,primary_download_url,description
2018_08_24_fly2_run2.nwb,112438574,e5844d1afcf18e85d7db593f7fc83481,https://ndownloader.figshare.com/files/41686602,Figshare file
2018_08_24_fly3_run1.nwb,86122400,cd49d2958282a7e6dd02ae00c9d7cb13,https://ndownloader.figshare.com/files/41686605,Figshare file
2019_04_18_fly2.nwb,122426176,0cf23ab4646ec226a22eda2157ce474d,https://ndownloader.figshare.com/files/41686608,Figshare file
2019_04_22_fly1.nwb,152561586,9155e64c2cea3b36da85ad0454cbef96,https://ndownloader.figshare.com/files/41686614,Figshare file
2019_04_22_fly3.nwb,153776672,f8fa31ed2432b26d2aa9dc5a392cd8ce,https://ndownloader.figshare.com/files/41686617,Figshare file
2019_04_24_fly1.nwb,125723370,87727eaa11545243e52bbf35619173e4,https://ndownloader.figshare.com/files/41686623,Figshare file
2019_04_24_fly3.nwb,195297864,aea4470f34812b371eb8f254912e340b,https://ndownloader.figshare.com/files/41686626,Figshare file
2019_04_25_fly1.nwb,85554908,4da7d507a7ff4201e812f4d3aa5c1b1d,https://ndownloader.figshare.com/files/41686629,Figshare file
2019_04_25_fly3.nwb,173245086,78966dd9a768bfdb1de83ec8bf329509,https://ndownloader.figshare.com/files/41686635,Figshare file
2019_04_26_fly1.nwb,122125518,95930fe1606d082258d9e6a11f661a24,https://ndownloader.figshare.com/files/41686638,Figshare file
2019_04_29_fly1.nwb,115735054,ba8b431297de489bc2efcc003a607fc4,https://ndownloader.figshare.com/files/41686641,Figshare file
2019_05_07_fly1.nwb,138278372,56d1b7b5b374eaf27a47e5f170234a10,https://ndownloader.figshare.com/files/41686647,Figshare file
2019_05_13_fly1.nwb,11538843,7e5ca85d68d1264e6104ec3899473f5e,https://ndownloader.figshare.com/files/41686650,Figshare file
2019_05_14_fly3.nwb,17313580,7593ccda5e19a709b96d0f1f7e5ad2a6,https://ndownloader.figshare.com/files/41686653,Figshare file
2019_05_14_fly4.nwb,12990710,75690e1c01b3e3e8f8638a34740cdd93,https://ndownloader.figshare.com/files/41686656,Figshare file
2019_05_20_fly2.nwb,16999138,4f6d6c60abf3b6240533d3f53444ed7d,https://ndownloader.figshare.com/files/41686659,Figshare file
2019_05_20_fly3.nwb,18571213,db8b1b15960281bdb34794c5fe04ebab,https://ndownloader.figshare.com/files/41686662,Figshare file
2019_06_28_fly2.nwb,159075790,738b5ac21472f07d2469ce0bb71b510d,https://ndownloader.figshare.com/files/41686665,Figshare file
2019_07_01_fly2.nwb,143684190,ece22a319e61ee116e27c117ada5da97,https://ndownloader.figshare.com/files/41686671,Figshare file
2019_08_07_fly2.nwb,73452936,f9d74fbed9e6f844ab34ecfdeb011ba3,https://ndownloader.figshare.com/files/41686674,Figshare file
2019_08_14_fly1.nwb,274083160,bbe52e806de6063e7c472b3768f67df5,https://ndownloader.figshare.com/files/41686680,Figshare file
2019_08_14_fly2.nwb,92831360,70d9e72eb736283a7454123525a269a6,https://ndownloader.figshare.com/files/41686683,Figshare file
2019_08_14_fly3_2.nwb,63219124,3ebadc3ff4dc5c09fb1b3b7b06bab499,https://ndownloader.figshare.com/files/41686686,Figshare file
2019_08_20_fly2.nwb,129045900,a99a6b90497c998c6d8bc73fdb3b13f1,https://ndownloader.figshare.com/files/41686689,Figshare file
2019_08_20_fly3.nwb,142820214,02b3d9579c58f8e7a79c70e6bb576d91,https://ndownloader.figshare.com/files/41686692,Figshare file
2019_10_02_fly2.nwb,205445408,1bde1125024141e4e484bb2aa2145706,https://ndownloader.figshare.com/files/41686698,Figshare file
2019_10_10_fly3.nwb,201599206,123dc02850d48122a7fee370017e083c,https://ndownloader.figshare.com/files/41686701,Figshare file
2019_10_14_fly2.nwb,117190278,e0ad3f61d5975fa2a8c10fe499e6c55f,https://ndownloader.figshare.com/files/41686704,Figshare file
2019_10_14_fly3.nwb,133844376,519e8ac53a5b3743cd55f8ee7d8fa727,https://ndownloader.figshare.com/files/41686710,Figshare file
2019_10_14_fly4.nwb,197050822,1028adac3321eb062a99d4ec15206a34,https://ndownloader.figshare.com/files/41686758,Figshare file
2019_10_18_fly2.nwb,102054354,d9891fad419fcf627dffd0baf18ef62f,https://ndownloader.figshare.com/files/41686761,Figshare file
2019_10_18_fly3.nwb,160220944,255c7870bb01083203f035f7cad9e1d9,https://ndownloader.figshare.com/files/41686767,Figshare file
2019_10_21_fly1.nwb,117830060,dcdc13bf211ba80dbc025613201796ea,https://ndownloader.figshare.com/files/41686770,Figshare file
2019_11_12_fly5.nwb,15221964,93270b5990e8503a1906143177186a48,https://ndownloader.figshare.com/files/41686776,Figshare file
2019_11_12_fly6.nwb,19034023,dc502ef65dc29b747466f1b7e506110c,https://ndownloader.figshare.com/files/41686779,Figshare file
2020_07_29_fly2.nwb,13894942,790a065c2bb017b227527607b181aabc,https://ndownloader.figshare.com/files/41686782,Figshare file
2020_08_10_fly1.nwb,15783662,0fbed6f490349b31f890f2c23508fa64,https://ndownloader.figshare.com/files/41686785,Figshare file
2020_08_10_fly2.nwb,13231433,11f8614462225cdff66b10e656ecabc4,https://ndownloader.figshare.com/files/41686788,Figshare file
2020_08_24_fly1.nwb,11824691,647e7b3cdd61b288c630dcfc3a5da8e9,https://ndownloader.figshare.com/files/41686791,Figshare file
2020_08_28_fly1.nwb,12328330,a41ac1cfe49fdd7c04048372b0ba72c9,https://ndownloader.figshare.com/files/41686794,Figshare file
2022_01_05_fly2.nwb,5708249,9369c4822aa7fac83c8b113cd2d48f11,https://ndownloader.figshare.com/files/41686797,Figshare file
2022_01_08_fly1.nwb,3475661,408535c6d6a6431a439aeb83bef26b8d,https://ndownloader.figshare.com/files/41686800,Figshare file
2022_01_08_fly2.nwb,5457965,f186c8c4ccbd00ffa29615bb886bdfa6,https://ndownloader.figshare.com/files/41686803,Figshare file
2022_01_14_fly1.nwb,4643461,05a775e7b271d4c9a7272ba0be67289f,https://ndownloader.figshare.com/files/41686806,Figshare file
2022_01_19_fly1.nwb,3394673,953b050e8ff3868f81d3cbca76ee989b,https://ndownloader.figshare.com/files/41686809,Figshare file
2022_01_21_fly2.nwb,4372089,a277a5b2595c7cd3309dda67d3d067f7,https://ndownloader.figshare.com/files/41686812,Figshare file
