schedule,metric,value
hold,fixed_motor_turn_bias_100ms_left,-40.0
hold,fixed_motor_turn_bias_100ms_right,100.0
hold,fixed_motor_turn_bias_500ms_left,0.0
hold,fixed_motor_turn_bias_500ms_right,0.0
hold,recommended_descending_turn_bias_100ms_left,-13.333333333333336
hold,recommended_descending_turn_bias_100ms_right,-26.666666666666668
hold,recommended_descending_turn_bias_500ms_left,-26.66666666666667
hold,recommended_descending_turn_bias_500ms_right,13.333333333333332
hold,mean_relay_contrastive_100ms,2.2076768250247247
hold,mean_relay_contrastive_500ms,4.030465824152131
hold,mean_descending_contrastive_100ms,-21.25
hold,mean_descending_contrastive_500ms,-7.5
pulse_25ms,fixed_motor_turn_bias_100ms_left,0.0
pulse_25ms,fixed_motor_turn_bias_100ms_right,0.0
pulse_25ms,fixed_motor_turn_bias_500ms_left,0.0
pulse_25ms,fixed_motor_turn_bias_500ms_right,0.0
pulse_25ms,recommended_descending_turn_bias_100ms_left,0.0
pulse_25ms,recommended_descending_turn_bias_100ms_right,0.0
pulse_25ms,recommended_descending_turn_bias_500ms_left,0.0
pulse_25ms,recommended_descending_turn_bias_500ms_right,0.0
pulse_25ms,mean_relay_contrastive_100ms,0.00981631242631309
pulse_25ms,mean_relay_contrastive_500ms,5.508580758236311e-05
pulse_25ms,mean_descending_contrastive_100ms,0.0
pulse_25ms,mean_descending_contrastive_500ms,0.0
