condition,cell_type,side,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_positive_delta,input_rate_hz,student_mean_rate_hz
baseline_gray,Am,left,721,84,-3.676418104176713,-3.676418104176713,0.0,0.0,0.0
baseline_gray,Am,right,721,229,-3.676418104176713,-3.676418104176713,0.0,0.0,0.0
baseline_gray,C2,left,721,723,0.2509370452792858,0.2509370452792858,0.0,0.0,0.0
baseline_gray,C2,right,721,733,0.2509370452792858,0.2509370452792858,0.0,0.0,0.0
baseline_gray,C3,left,721,699,0.2415862400924345,0.2415862400924345,0.0,0.0,0.0
baseline_gray,C3,right,721,761,0.2415862400924345,0.2415862400924345,0.0,0.0,0.0
baseline_gray,L1,left,721,789,-2.565552126559404,-2.565552126559404,0.0,0.0,0.0
baseline_gray,L1,right,721,790,-2.565552126559404,-2.565552126559404,0.0,0.0,0.0
baseline_gray,L2,left,721,764,-2.5756758615147226,-2.5756758615147226,0.0,0.0,0.0
baseline_gray,L2,right,721,790,-2.5756758615147226,-2.5756758615147226,0.0,0.0,0.0
baseline_gray,L3,left,721,680,0.0704091596716745,0.0704091596716745,0.0,0.0,0.0
baseline_gray,L3,right,721,726,0.0704091596716745,0.0704091596716745,0.0,0.0,0.0
baseline_gray,L4,left,721,659,1.0686288824235186,1.0686288824235186,0.0,0.0,0.0
baseline_gray,L4,right,721,739,1.0686288824235186,1.0686288824235186,0.0,0.0,0.0
baseline_gray,L5,left,721,821,0.11559486711312514,0.11559486711312514,0.0,0.0,0.0
baseline_gray,L5,right,721,786,0.11559486711312514,0.11559486711312514,0.0,0.0,0.0
baseline_gray,Lawf1,left,123,199,-0.47671180197854796,-0.47671180197854796,0.0,0.0,0.0
baseline_gray,Lawf1,right,123,156,-0.47671180197854796,-0.47671180197854796,0.0,0.0,0.0
baseline_gray,Lawf2,left,123,145,0.5242224922327976,0.5242224922327976,0.0,0.0,0.0
baseline_gray,Lawf2,right,123,168,0.5242224922327976,0.5242224922327976,0.0,0.0,0.0
baseline_gray,Mi1,left,721,787,0.8997077064875425,0.8997077064875425,0.0,0.0,0.0
baseline_gray,Mi1,right,721,793,0.8997077064875425,0.8997077064875425,0.0,0.0,0.0
baseline_gray,Mi10,left,721,195,1.3249444319103196,1.3249444319103196,0.0,0.0,0.0
baseline_gray,Mi10,right,721,206,1.3249444319103196,1.3249444319103196,0.0,0.0,0.0
baseline_gray,Mi13,left,721,367,0.6806043193787956,0.6806043193787956,0.0,0.0,0.0
baseline_gray,Mi13,right,721,353,0.6806043193787956,0.6806043193787956,0.0,0.0,0.0
baseline_gray,Mi14,left,721,124,0.2915014032734333,0.2915014032734333,0.0,0.0,0.0
baseline_gray,Mi14,right,721,124,0.2915014032734333,0.2915014032734333,0.0,0.0,0.0
baseline_gray,Mi15,left,721,498,0.3664863612231554,0.3664863612231554,0.0,0.0,0.0
baseline_gray,Mi15,right,721,482,0.3664863612231554,0.3664863612231554,0.0,0.0,0.0
baseline_gray,Mi2,left,721,410,1.2401932511845508,1.2401932511845508,0.0,0.0,0.0
baseline_gray,Mi2,right,721,419,1.2401932511845508,1.2401932511845508,0.0,0.0,0.0
baseline_gray,Mi4,left,721,764,2.5961487655335427,2.5961487655335427,0.0,0.0,0.0
baseline_gray,Mi4,right,721,764,2.5961487655335427,2.5961487655335427,0.0,0.0,0.0
baseline_gray,Mi9,left,721,801,0.13652539833143065,0.13652539833143065,0.0,0.0,0.0
baseline_gray,Mi9,right,721,767,0.13652539833143065,0.13652539833143065,0.0,0.0,0.0
baseline_gray,R7,left,721,672,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0
baseline_gray,R7,right,721,671,0.4320753999054432,0.4320753999054432,0.0,0.0,0.0
baseline_gray,R8,left,721,670,1.777094915509224,1.777094915509224,0.0,0.0,0.0
baseline_gray,R8,right,721,654,1.777094915509224,1.777094915509224,0.0,0.0,0.0
baseline_gray,T1,left,721,645,-0.33451253229212247,-0.33451253229212247,0.0,0.0,0.0
baseline_gray,T1,right,721,745,-0.33451253229212247,-0.33451253229212247,0.0,0.0,0.0
baseline_gray,T2,left,721,738,5.059273368463272,5.059273368463272,0.0,0.0,0.0
baseline_gray,T2,right,721,716,5.059273368463272,5.059273368463272,0.0,0.0,0.0
baseline_gray,T2a,left,721,910,0.4931501398707808,0.4931501398707808,0.0,0.0,0.0
baseline_gray,T2a,right,721,871,0.4931501398707808,0.4931501398707808,0.0,0.0,0.0
baseline_gray,T3,left,721,825,0.686323561838695,0.686323561838695,0.0,0.0,0.0
baseline_gray,T3,right,721,790,0.686323561838695,0.686323561838695,0.0,0.0,0.0
baseline_gray,T4a,left,721,729,0.14835371661864027,0.14835371661864027,0.0,0.0,0.0
baseline_gray,T4a,right,721,734,0.14835371661864027,0.14835371661864027,0.0,0.0,0.0
baseline_gray,T4b,left,721,756,0.008925139044429887,0.008925139044429887,0.0,0.0,0.0
baseline_gray,T4b,right,721,751,0.008925139044429887,0.008925139044429887,0.0,0.0,0.0
baseline_gray,T4c,left,721,850,-0.017588837858833695,-0.017588837858833695,0.0,0.0,0.0
baseline_gray,T4c,right,721,842,-0.017588837858833695,-0.017588837858833695,0.0,0.0,0.0
