condition,cell_type,teacher_right_minus_left,student_right_minus_left
baseline_gray,Am,0.0,0.0
baseline_gray,C2,0.0,0.0
baseline_gray,C3,0.0,0.0
baseline_gray,L1,0.0,0.0
baseline_gray,L2,0.0,0.0
baseline_gray,L3,0.0,0.0
baseline_gray,L4,0.0,0.0
baseline_gray,L5,0.0,0.0
baseline_gray,Lawf1,0.0,0.0
baseline_gray,Lawf2,0.0,0.0
baseline_gray,Mi1,0.0,0.0
baseline_gray,Mi10,0.0,0.0
baseline_gray,Mi13,0.0,0.0
baseline_gray,Mi14,0.0,0.0
baseline_gray,Mi15,0.0,0.0
baseline_gray,Mi2,0.0,0.0
baseline_gray,Mi4,0.0,0.0
baseline_gray,Mi9,0.0,0.0
baseline_gray,R7,0.0,0.0
baseline_gray,R8,0.0,0.0
baseline_gray,T1,0.0,0.0
baseline_gray,T2,0.0,0.0
baseline_gray,T2a,0.0,0.0
baseline_gray,T3,0.0,0.0
baseline_gray,T4a,0.0,0.0
baseline_gray,T4b,0.0,0.0
baseline_gray,T4c,0.0,0.0
baseline_gray,T4d,0.0,0.0
baseline_gray,T5a,0.0,0.0
baseline_gray,T5b,0.0,0.0
baseline_gray,T5c,0.0,0.0
baseline_gray,T5d,0.0,0.0
baseline_gray,Tm1,0.0,0.0
baseline_gray,Tm16,0.0,0.0
baseline_gray,Tm2,0.0,0.0
baseline_gray,Tm20,0.0,0.0
baseline_gray,Tm3,0.0,0.0
baseline_gray,Tm4,0.0,0.0
baseline_gray,Tm5Y,0.0,0.0
baseline_gray,Tm5a,0.0,0.0
baseline_gray,Tm5c,0.0,0.0
baseline_gray,Tm9,0.0,0.0
baseline_gray,TmY14,0.0,0.0
baseline_gray,TmY15,0.0,0.0
baseline_gray,TmY18,0.0,0.0
baseline_gray,TmY3,0.0,0.0
baseline_gray,TmY4,0.0,0.0
baseline_gray,TmY5a,0.0,0.0
baseline_gray,TmY9,0.0,0.0
body_left_dark,Am,0.00014433924020940125,0.8967560823455969
body_left_dark,C2,0.0,0.0
body_left_dark,C3,0.00014897945612130092,0.0
body_left_dark,L1,8.405164277025534e-06,-0.6074826330397372
body_left_dark,L2,-3.015848287413192e-05,1.335078534031414
body_left_dark,L3,0.0005324081936229352,1.6105574461189436
body_left_dark,L4,-0.00026020773488832916,-0.43685741918394416
body_left_dark,L5,0.0,0.06361323155216285
body_left_dark,Lawf1,0.0,0.0
body_left_dark,Lawf2,0.0,0.0
body_left_dark,Mi1,0.0,0.0
body_left_dark,Mi10,0.0,0.0
body_left_dark,Mi13,0.0,0.0
body_left_dark,Mi14,0.0,0.0
body_left_dark,Mi15,0.0,0.0
body_left_dark,Mi2,0.0,0.0
body_left_dark,Mi4,0.0,0.0
body_left_dark,Mi9,0.002819436148581378,1.9502186803653245
body_left_dark,R7,0.0,0.0
body_left_dark,R8,0.0,0.0
body_left_dark,T1,-3.605246015575547e-05,-0.3579418344519034
body_left_dark,T2,0.0,0.0
body_left_dark,T2a,0.0,0.0
body_left_dark,T3,0.0,0.0
body_left_dark,T4a,0.0,0.0
body_left_dark,T4b,0.0,0.0
body_left_dark,T4c,0.0,0.0
body_left_dark,T4d,0.0006284197989719353,0.5140177905751084
body_left_dark,T5a,0.04710527812711515,4.624826983317549
body_left_dark,T5b,-0.0027588121777458174,0.13140672719340252
body_left_dark,T5c,0.015615025934298532,2.8037942846192543
body_left_dark,T5d,0.02236436482350948,0.5579203687869452
body_left_dark,Tm1,-0.0006299165365558634,-0.4467409305298977
