condition,cell_type,side,bin_index,flyvis_node_count,brain_root_count,teacher_raw_mean,teacher_baseline_mean,teacher_signed_delta,teacher_target_value,input_value,student_raw_rate_hz,student_delta_rate_hz,student_raw_voltage_mv,student_delta_voltage_mv,student_raw_conductance,student_delta_conductance
baseline_gray,Am,left,0,136,24,-3.721085964099449,-3.721085964099449,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Am,right,0,136,50,-3.721085964099449,-3.721085964099449,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Am,left,3,135,24,-3.639076156086392,-3.639076156086392,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Am,right,3,135,51,-3.639076156086392,-3.639076156086392,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,left,0,136,168,0.24943175135344706,0.24943175135344706,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,right,0,136,202,0.24943175135344706,0.24943175135344706,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,left,1,225,194,0.24891136983202564,0.24891136983202564,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,right,1,225,164,0.24891136983202564,0.24891136983202564,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,left,2,225,193,0.2520511335713996,0.2520511335713996,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,right,2,225,164,0.2520511335713996,0.2520511335713996,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,left,3,135,168,0.25397280145574497,0.25397280145574497,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C2,right,3,135,203,0.25397280145574497,0.25397280145574497,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,left,0,136,167,0.23930230750428402,0.23930230750428402,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,right,0,136,198,0.23930230750428402,0.23930230750428402,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,left,1,225,183,0.24708957706060675,0.24708957706060675,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,right,1,225,182,0.24708957706060675,0.24708957706060675,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,left,2,225,182,0.23923627600073816,0.23923627600073816,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,right,2,225,182,0.23923627600073816,0.23923627600073816,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,left,3,135,167,0.2386314692389634,0.2386314692389634,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,C3,right,3,135,199,0.2386314692389634,0.2386314692389634,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,left,0,136,210,-2.6005542096407974,-2.6005542096407974,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,right,0,136,192,-2.6005542096407974,-2.6005542096407974,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,left,1,225,185,-2.520053113301595,-2.520053113301595,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,right,1,225,203,-2.520053113301595,-2.520053113301595,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,left,2,225,184,-2.607742512755924,-2.607742512755924,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,right,2,225,203,-2.607742512755924,-2.607742512755924,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,left,3,135,210,-2.5358051472240026,-2.5358051472240026,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L1,right,3,135,192,-2.5358051472240026,-2.5358051472240026,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,left,0,136,201,-2.6100256368517876,-2.6100256368517876,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,right,0,136,203,-2.6100256368517876,-2.6100256368517876,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,left,1,225,181,-2.53204270084699,-2.53204270084699,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,right,1,225,192,-2.53204270084699,-2.53204270084699,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,left,2,225,181,-2.614057703680462,-2.614057703680462,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,right,2,225,192,-2.614057703680462,-2.614057703680462,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,left,3,135,201,-2.5498238409007037,-2.5498238409007037,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L2,right,3,135,203,-2.5498238409007037,-2.5498238409007037,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,left,0,136,177,0.059447776994923464,0.059447776994923464,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,right,0,136,176,0.059447776994923464,0.059447776994923464,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,left,1,225,163,0.08360335127140085,0.08360335127140085,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,right,1,225,187,0.08360335127140085,0.08360335127140085,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,left,2,225,163,0.06389884033240378,0.06389884033240378,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,right,2,225,187,0.06389884033240378,0.06389884033240378,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,left,3,135,177,0.07031195067490141,0.07031195067490141,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L3,right,3,135,176,0.07031195067490141,0.07031195067490141,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,left,0,136,161,1.0787954688729608,1.0787954688729608,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,right,0,136,181,1.0787954688729608,1.0787954688729608,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,left,1,225,169,1.0375998672511844,1.0375998672511844,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,right,1,225,188,1.0375998672511844,1.0375998672511844,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,left,2,225,168,1.1024034745163387,1.1024034745163387,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,right,2,225,188,1.1024034745163387,1.1024034745163387,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,left,3,135,161,1.0538110263921596,1.0538110263921596,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L4,right,3,135,182,1.0538110263921596,1.0538110263921596,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,left,0,136,215,0.11463386678438195,0.11463386678438195,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,right,0,136,193,0.11463386678438195,0.11463386678438195,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,left,1,225,196,0.11903132720126046,0.11903132720126046,0.0,0.0,0.0,0.0,0.0,-51.734693877551024,0.0,0.0,0.0
baseline_gray,L5,right,1,225,200,0.11903132720126046,0.11903132720126046,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,left,2,225,195,0.11046205864598353,0.11046205864598353,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,right,2,225,200,0.11046205864598353,0.11046205864598353,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,left,3,135,215,0.1193902332611658,0.1193902332611658,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,L5,right,3,135,193,0.1193902332611658,0.1193902332611658,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,0,27,52,-0.5012098590808886,-0.5012098590808886,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,0,27,45,-0.5012098590808886,-0.5012098590808886,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,1,35,48,-0.5548683599701949,-0.5548683599701949,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,1,35,33,-0.5548683599701949,-0.5548683599701949,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,2,35,47,-0.4153874623988356,-0.4153874623988356,0.0,0.0,0.0,0.0,0.0,-50.8936170212766,0.0,0.0,0.0
baseline_gray,Lawf1,right,2,35,33,-0.4153874623988356,-0.4153874623988356,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf1,left,3,26,52,-0.42861275635620516,-0.42861275635620516,0.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,0.0
baseline_gray,Lawf1,right,3,26,45,-0.42861275635620516,-0.42861275635620516,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,0,27,39,0.5148508318320468,0.5148508318320468,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,0,27,42,0.5148508318320468,0.5148508318320468,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,1,35,34,0.5614279552229813,0.5614279552229813,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,1,35,42,0.5614279552229813,0.5614279552229813,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,2,35,33,0.5015972412058285,0.5015972412058285,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,2,35,42,0.5015972412058285,0.5015972412058285,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,left,3,26,39,0.5143273926984805,0.5143273926984805,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Lawf2,right,3,26,42,0.5143273926984805,0.5143273926984805,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Mi1,left,0,136,204,0.8880531409864917,0.8880531409864917,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
baseline_gray,Mi1,right,0,136,192,0.8880531409864917,0.8880531409864917,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,0.0
