brain_index,from_overlap,to_motor,root_id,cell_type,side,score
54352,5814,32,720575940622312965,unknown,unknown,186048
92123,7202,11,720575940629148007,unknown,unknown,79222
96463,7346,10,720575940630006521,unknown,unknown,73460
25467,6069,12,720575940615933919,unknown,unknown,72828
92158,4783,14,720575940629153020,unknown,unknown,66962
22366,9156,4,720575940615028143,unknown,unknown,36624
106501,9628,3,720575940631999685,unknown,unknown,28884
108438,14412,2,720575940632427603,unknown,unknown,28824
5087,465,42,720575940607800242,LC31b,right,19530
41678,317,55,720575940620054694,unknown,unknown,17435
89928,1502,10,720575940628743496,unknown,unknown,15020
88433,378,36,720575940628463468,LC31b,right,13608
95216,289,46,720575940629777018,unknown,unknown,13294
35545,188,69,720575940618540834,LC19,left,12972
103056,200,56,720575940631253820,LC19,right,11200
56364,336,31,720575940622680724,LC31b,right,10416
12912,313,32,720575940612037073,LC31a,right,10016
78821,292,31,720575940626863107,LC31a,right,9052
61854,269,33,720575940623637396,LC31a,right,8877
33769,206,40,720575940618135973,LC31a,right,8240
59371,203,40,720575940623194845,LC19,right,8120
85848,3931,2,720575940628031249,unknown,unknown,7862
17428,7461,1,720575940613455986,unknown,unknown,7461
137020,288,25,720575940651404278,LC31a,right,7200
29094,375,18,720575940616951739,LC31b,left,6750
47356,242,27,720575940621107336,LC31a,right,6534
26224,254,25,720575940616133186,LC31a,right,6350
39569,360,17,720575940619592768,LC31b,left,6120
51412,230,25,720575940621800431,LC31a,left,5750
15070,238,23,720575940612737174,LC31a,right,5474
57716,164,33,720575940622928764,LC31a,right,5412
52610,214,25,720575940622028029,LC31a,left,5350
107477,125,42,720575940632227155,LC19,left,5250
39288,267,18,720575940619507184,LC31a,right,4806
10392,222,21,720575940611036643,LC31a,left,4662
64,284,16,720575940602483424,LC31b,left,4544
87490,187,24,720575940628314167,LC31a,right,4488
6899,165,26,720575940609109602,LC31b,right,4290
48507,146,28,720575940621318084,LC31a,right,4088
125357,133,30,720575940638681203,LC19,right,3990
27999,206,18,720575940616640310,LC31a,right,3708
2510,169,20,720575940605934112,LC31a,right,3380
88037,105,31,720575940628397896,LC31a,left,3255
125770,231,14,720575940638866404,LC31a,left,3234
121680,208,15,720575940637064926,LC31b,right,3120
15120,492,6,720575940612752611,LT82a,right,2952
69426,161,17,720575940625019696,LCe06,right,2737
86381,1335,2,720575940628120744,LT82a,right,2670
40784,93,28,720575940619870656,LC19,right,2604
15453,137,19,720575940612854378,LC31a,left,2603
12568,104,25,720575940611905331,LC31a,left,2600
97671,198,13,720575940630247579,LTe21,right,2574
122870,160,16,720575940637602621,LC31a,left,2560
54932,160,16,720575940622408542,LC31a,right,2560
39084,422,6,720575940619443694,unknown,unknown,2532
37985,110,23,720575940619138373,LTe19,left,2530
41339,92,27,720575940619992444,LC31a,left,2484
123298,153,16,720575940637761112,LC31a,right,2448
69059,100,24,720575940624956805,LC31a,left,2400
101359,150,16,720575940630937923,LC19,left,2400
81479,84,27,720575940627278321,LC19,left,2268
8583,140,16,720575940610116570,LC31a,right,2240
75679,146,15,720575940626276682,LC31a,left,2190
126604,57,37,720575940639201269,unknown,unknown,2109
82452,144,14,720575940627435283,LCe06,right,2016
84702,178,11,720575940627836354,LC31a,left,1958
32290,483,4,720575940617797259,LPT04_HST,right,1932
39657,1833,1,720575940619612142,LPT42_Nod4,right,1833
43599,352,5,720575940620464112,unknown,unknown,1760
135917,77,22,720575940647528500,LC31a,left,1694
134294,127,13,720575940645460260,LC19,left,1651
97234,149,11,720575940630161914,LC19,left,1639
15530,147,11,720575940612874898,LCe06,left,1617
54420,229,7,720575940622323080,unknown,unknown,1603
119036,136,11,720575940635873946,LTe19,right,1496
