window_ms,condition,cell_type,side,mean_rate_hz,mean_voltage_mv,mean_conductance
100.0,baseline_gray,LC31a,left,0.0,-52.0,0.0
100.0,baseline_gray,LC31a,right,0.0,-52.0,0.0
100.0,baseline_gray,LC31b,left,0.0,-52.0,0.0
100.0,baseline_gray,LC31b,right,0.0,-52.0,0.0
100.0,baseline_gray,LC19,left,0.0,-52.0,0.0
100.0,baseline_gray,LC19,right,0.0,-52.0,0.0
100.0,baseline_gray,LCe06,left,0.0,-52.0,0.0
100.0,baseline_gray,LCe06,right,0.0,-52.0,0.0
100.0,baseline_gray,LT82a,left,0.0,-52.0,0.0
100.0,baseline_gray,LT82a,right,0.0,-52.0,0.0
100.0,baseline_gray,LCe04,left,0.0,-52.0,0.0
100.0,baseline_gray,LCe04,right,0.0,-52.0,0.0
100.0,body_left_dark,LC31a,left,2.2222222222222223,-53.848254945543076,-2.2544043308330908
100.0,body_left_dark,LC31a,right,3.5294117647058822,-56.45277674057905,-5.285502349629121
100.0,body_left_dark,LC31b,left,50.0,-49.52440643310547,10.106752729415893
100.0,body_left_dark,LC31b,right,54.0,-49.73263702392578,10.11174521446228
100.0,body_left_dark,LC19,left,1.25,-62.40349531173706,-13.946979481726885
100.0,body_left_dark,LC19,right,0.0,-58.0623582204183,-7.173058936993281
100.0,body_left_dark,LCe06,left,78.0,-49.96467666625976,13.610353660583495
100.0,body_left_dark,LCe06,right,71.66666666666667,-49.83863131205241,12.678609848022461
100.0,body_left_dark,LT82a,left,85.0,-49.995357513427734,14.26331377029419
100.0,body_left_dark,LT82a,right,40.0,-57.704566955566406,-2.004061698913574
100.0,body_left_dark,LCe04,left,0.0,-52.70847988128662,-0.9785488756994406
100.0,body_left_dark,LCe04,right,0.0,-51.94580268859863,-0.018504294333979487
100.0,body_center_dark,LC31a,left,1.1111111111111112,-53.47956233554416,-1.9006001353263855
100.0,body_center_dark,LC31a,right,4.117647058823529,-55.755281784955194,-4.457707562867333
100.0,body_center_dark,LC31b,left,54.0,-49.47631072998047,10.810082530975341
100.0,body_center_dark,LC31b,right,46.0,-50.40343399047852,8.486016058921814
100.0,body_center_dark,LC19,left,1.25,-61.482295989990234,-12.803706288337708
100.0,body_center_dark,LC19,right,0.0,-60.15036710103353,-9.768142650524775
100.0,body_center_dark,LCe06,left,80.0,-49.99643783569336,13.833011054992676
100.0,body_center_dark,LCe06,right,75.0,-49.99406433105469,13.138676961263021
100.0,body_center_dark,LT82a,left,90.0,-50.29483222961426,14.498139381408691
100.0,body_center_dark,LT82a,right,60.0,-53.87265586853027,4.871122598648071
100.0,body_center_dark,LCe04,left,0.0,-52.62149747212728,-0.8525719853738943
100.0,body_center_dark,LCe04,right,0.0,-51.986525535583496,-0.058667526580393314
100.0,body_right_dark,LC31a,left,1.6666666666666667,-53.62734285990397,-2.0737585690286426
100.0,body_right_dark,LC31a,right,4.117647058823529,-55.48455563713522,-4.170146900064805
100.0,body_right_dark,LC31b,left,54.0,-49.43589859008789,10.89091715812683
100.0,body_right_dark,LC31b,right,40.0,-49.98709945678711,8.211363890022039
