window_ms,condition,cell_type,right_minus_left_rate_hz,right_minus_left_voltage_mv,right_minus_left_conductance
100.0,baseline_gray,LC31a,0.0,0.0,0.0
100.0,baseline_gray,LC31b,0.0,0.0,0.0
100.0,baseline_gray,LC19,0.0,0.0,0.0
100.0,baseline_gray,LCe06,0.0,0.0,0.0
100.0,baseline_gray,LT82a,0.0,0.0,0.0
100.0,baseline_gray,LCe04,0.0,0.0,0.0
100.0,body_left_dark,LC31a,1.30718954248366,-2.6045217950359714,-3.0310980187960306
100.0,body_left_dark,LC31b,4.0,-0.20823059082031392,0.004992485046386719
100.0,body_left_dark,LC19,-1.25,4.341137091318764,6.7739205447336035
100.0,body_left_dark,LCe06,-6.333333333333329,0.1260453542073563,-0.9317438125610344
100.0,body_left_dark,LT82a,-45.0,-7.709209442138672,-16.267375469207764
100.0,body_left_dark,LCe04,0.0,0.7626771926879883,0.9600445813654611
100.0,body_center_dark,LC31a,3.006535947712418,-2.275719449411035,-2.5571074275409478
100.0,body_center_dark,LC31b,-8.0,-0.9271232604980497,-2.324066472053527
100.0,body_center_dark,LC19,-1.25,1.3319288889567034,3.035563637812933
100.0,body_center_dark,LCe06,-5.0,0.002373504638669033,-0.6943340937296547
100.0,body_center_dark,LT82a,-30.0,-3.5778236389160156,-9.62701678276062
100.0,body_center_dark,LCe04,0.0,0.6349719365437849,0.793904458793501
100.0,body_right_dark,LC31a,2.450980392156862,-1.857212777231254,-2.096388331036162
100.0,body_right_dark,LC31b,-14.0,-0.5512008666992188,-2.679553268104792
100.0,body_right_dark,LC19,0.0,4.657404899597168,5.148457009034852
100.0,body_right_dark,LCe06,10.666666666666664,-0.09818585713704664,0.7211573441823322
100.0,body_right_dark,LT82a,0.0,-4.511661529541016,-6.204747200012207
100.0,body_right_dark,LCe04,0.0,-0.05018623669942457,-0.07943410581598676
500.0,baseline_gray,LC31a,0.0,0.0,0.0
500.0,baseline_gray,LC31b,0.0,0.0,0.0
500.0,baseline_gray,LC19,0.0,0.0,0.0
500.0,baseline_gray,LCe06,0.0,0.0,0.0
500.0,baseline_gray,LT82a,0.0,0.0,0.0
500.0,baseline_gray,LCe04,0.0,0.0,0.0
500.0,body_left_dark,LC31a,1.65359477124183,-3.6348067514257494,-3.568032922211036
500.0,body_left_dark,LC31b,0.0,-0.44787445068359233,-0.4234580993652344
500.0,body_left_dark,LC19,2.0833333333333335,7.3231832186381,7.672702660163244
500.0,body_left_dark,LCe06,-7.533333333333331,-0.03106129964192661,-1.183918889363607
500.0,body_left_dark,LT82a,-43.0,-12.411558151245117,-19.067577362060547
500.0,body_left_dark,LCe04,0.0,0.9619003136952742,0.9950381849581997
500.0,body_center_dark,LC31a,2.098039215686274,-2.9059966841554328,-2.7130662914779453
500.0,body_center_dark,LC31b,-5.600000000000001,-1.1501312255859375,-2.0897177278995525
500.0,body_center_dark,LC19,1.5833333333333335,6.345647017161049,6.426463010410467
500.0,body_center_dark,LCe06,-0.46666666666666856,-0.10080324808756558,-0.20338226954142158
500.0,body_center_dark,LT82a,-37.0,-7.535673141479492,-12.93707275390625
500.0,body_center_dark,LCe04,0.0,0.7458060582478865,0.7749680019915104
500.0,body_right_dark,LC31a,2.333333333333333,-2.3361356772628525,-2.1116675657579327
500.0,body_right_dark,LC31b,-15.200000000000003,-0.7831008911132784,-2.993007326126099
500.0,body_right_dark,LC19,1.0,6.888310750325523,7.249276918669542
500.0,body_right_dark,LCe06,8.533333333333339,0.08780746459960653,1.3362994432449344
500.0,body_right_dark,LT82a,-4.0,-10.042705535888672,-11.012397766113281
500.0,body_right_dark,LCe04,0.0,-0.13533306121826172,-0.14260553009808064
