family,super_class,left_count,right_count,bilateral_voltage_corr,turn_drive_asym_corr,mean_abs_asym_mv
PLP013,central,2,2,-0.2958381958051594,0.8375309009952584,2.9091405868530273
LTe01,visual_projection,3,2,-0.24099922650797392,0.8355010055628653,2.1062240600585938
LC26,visual_projection,26,31,0.056854626859223996,0.8346327231194289,1.5352686643600464
IbSpsP,central,17,13,0.30102897490023495,0.82890692499594,0.23314207792282104
LC13,visual_projection,75,70,-0.5989830000939399,0.8271656948542975,1.2518702745437622
MTe50,visual_projection,25,29,-0.31209878571339117,0.8061042687107274,1.078950047492981
LC16,visual_projection,77,74,0.28989555691984353,0.7948252521096006,1.265252709388733
CB3162,central,2,2,0.5914206617447151,0.7885406586376005,0.4614843726158142
LTe43,visual_projection,4,4,0.19197490538072232,0.7870072414381255,0.6254687309265137
MeMe_e08,visual_projection,6,6,-0.19672342015476926,0.7665332657242283,16.164947509765625
PLP182,central,8,8,-0.49244557080987256,0.7498437221155146,2.037832021713257
LTe32,visual_projection,3,3,-0.5522248535060872,0.7464455445063418,1.4292186498641968
MTe51,visual_projection,48,50,-0.2090461864215137,0.7460185515499114,2.040684461593628
CB3313,central,3,2,0.12753336961909464,0.7459073675275522,1.2466408014297485
PLP241,central,4,4,0.5031505475520903,0.7403047840270847,0.946484386920929
LT78,visual_projection,4,4,-0.45094735969774796,0.7344867315670802,9.371718406677246
LPLC4,visual_projection,56,54,-0.09022368349800158,0.7343011948180669,1.7010504007339478
"LAL028, LAL029",central,6,6,-0.31637291447036237,0.7333661291827426,2.812473773956299
LTe68,visual_projection,5,5,0.23314283723820517,0.7285402785728199,0.28346890211105347
AOTU008a,central,4,4,0.010503558953339974,0.7265259292134455,0.5709375143051147
AVLP189_b,central,2,3,0.028249293324090964,0.7209893366109507,1.8028124570846558
CB1136,central,2,2,-0.49275967241518875,0.7201826957100573,10.959609031677246
MTe11,visual_projection,3,3,-0.5900266959143103,0.7197122982673473,0.7542188763618469
MC65,visual_projection,3,3,-0.1691423615843693,0.7185527873426141,0.7526042461395264
"LC37a,LC37b",visual_projection,9,9,0.3066223048984946,0.7180868467444077,2.3942532539367676
SLP467b,central,2,2,-0.3493950609124076,0.7146748072383432,2.900156259536743
LCe02,visual_projection,25,28,-0.137672078200961,0.713975370104266,1.0095181465148926
MTe13,visual_projection,2,3,-0.040541885092727895,0.7112746326580683,5.205937385559082
SLP122,central,2,2,0.4917162344748537,0.708883593765156,1.297421932220459
LCe01b,visual_projection,21,22,-0.05235833584970124,0.7020046074995107,1.4306117296218872
AVLP299_a,central,2,2,0.27500569707019457,0.701942364417928,2.4008593559265137
"PLP188,PLP189",central,9,8,-0.4857199028233917,0.7006339989020712,1.1799652576446533
CB1747,central,2,2,0.1926800863121019,0.6975077945368414,0.8092968463897705
MTe01a,visual_projection,41,46,0.10343599653524102,0.695637629222717,1.2055392265319824
CL239,central,2,2,0.3219775562174128,0.688892451390895,0.591796875
AVLP229,central,2,2,0.02053671104697827,0.6883176439640724,2.030703067779541
LCe06,visual_projection,5,6,-0.4348803588763004,0.6866184638618137,5.036651134490967
PVLP060,central,4,2,-0.192271185123282,0.6821216502785081,2.6858203411102295
MTe47,visual_projection,2,2,-0.21925601686993565,0.681031151251509,13.172577857971191
AVLP300_b,central,2,2,-0.3280451661628897,0.6759913500047435,6.646953105926514
CB2950,central,2,2,-0.5250736626234557,0.6735495983000612,1.026953101158142
LPLC2,visual_projection,108,102,0.10359920499955479,0.6713651262731464,1.6932246685028076
PLP037b,central,4,4,-0.14736953601399005,0.6695326815305023,3.5653514862060547
LC31b,visual_projection,5,5,-0.36698544422243623,0.6677099817821028,6.276968955993652
