cell_type,sides
5-HTPLP01,L|R
5-HTPMPD01,L|R
5-HTPMPV01,L|R
5-HTPMPV03,L|R
5thsLNv_LNd6,L|R
ADNM1 MN,L|R
ADNM2 MN,L|R
AL-AST1,L|R
AL-MBDL1,L|R
ALBN1,L|R
ALIN1,L|R
ALIN2,L|R
ALIN3,L|R
ALIN4,L|R
ALIN5,L|R
ALIN6,L|R
ALIN7,L|R
ALIN8,L|R
ALON1,L|R
ALON2,L|R
ALON3,L|R
AMMC-A1,L|R
AMMC001,L|R
AMMC002,L|R
AMMC003,L|R
AMMC004,L|R
AMMC005,L|R
AMMC006,L|R
AMMC007,L|R
AMMC008,L|R
AMMC009,L|R
AMMC010,L|R
AMMC011,L|R
AMMC012,L|R
AMMC013,L|R
AMMC014,L|R
AMMC015,L|R
AMMC016,L|R
AMMC017,L|R
AMMC018,L|R
AMMC019,L|R
AMMC020,L|R
AMMC021,L|R
AMMC022,L|R
AMMC023,L|R
AMMC024,L|R
AMMC025,L|R
AMMC026,L|R
AMMC027,L|R
AMMC028,L|R
AMMC029,L|R
AMMC030,L|R
AMMC031,L|R
AMMC032,L|R
AMMC033,L|R
AMMC034_a,L|R
AMMC034_b,L|R
AMMC035,L|R
AMMC036,L|R
AMMC037,L|R
AN01A006,L|R
AN01A014,L|R
AN01A021,L|R
AN01A033,L|R
AN01A049,L|R
AN01A055,L|R
AN01A086,L|R
AN01A089,L|R
AN01B002,L|R
AN01B004,L|R
AN01B005,L|R
AN01B011,L|R
AN01B014,L|R
AN01B018,L|R
AN02A001,L|R
AN02A002,L|R
AN02A005,L|R
AN02A009,L|R
AN02A016,L|R
AN02A017,L|R
AN02A022,L|R
AN02A025,L|R
AN02A046,L|R
AN03A002,L|R
AN03A008,L|R
AN03B009,L|R
AN03B011,L|R
AN03B039,L|R
AN03B050,L|R
AN03B094,L|R
AN03B095,L|R
AN04A001,L|R
AN04B001,L|R
AN04B003,L|R
AN04B004,L|R
AN04B023,L|R
AN04B051,L|R
AN05B004,L|R
AN05B005,L|R
AN05B006,L|R
AN05B009,L|R
AN05B015,L|R
AN05B021,L|R
AN05B023a,L|R
AN05B023b,L|R
AN05B023c,L|R
AN05B023d,L|R
AN05B025,L|R
AN05B035,L|R
AN05B036,L|R
AN05B044,L|R
AN05B045,L|R
AN05B048,L|R
AN05B049_a,L|R
AN05B049_b,L|R
AN05B049_c,L|R
AN05B050_a,L|R
AN05B050_b,L|R
AN05B050_c,L|R
AN05B052,L|R
AN05B053,L|R
AN05B054_a,L|R
AN05B054_b,L|R
AN05B062,L|R
AN05B063,L|R
AN05B068,L|R
AN05B076,L|R
AN05B095,L|R
AN05B096,L|R
AN05B097,L|R
AN05B098,L|R
AN05B099,L|R
AN05B100,L|R
AN05B101,L|R
AN05B102a,L|R
AN05B102b,L|R
AN05B102c,L|R
AN05B102d,L|R
AN05B103,L|R
AN05B104,L|R
AN05B105,L|R
AN05B106,L|R
AN05B107,L|R
AN05B108,L|R
AN06A010,L|R
AN06A015,L|R
AN06A016,L|R
AN06A017,L|R
AN06A018,L|R
AN06A026,L|R
AN06A027,L|R
AN06A030,L|R
AN06A041,L|R
AN06A060,L|R
AN06A062,L|R
AN06A080,L|R
AN06A092,L|R
AN06A095,L|R
AN06A112,L|R
AN06B002,L|R
AN06B004,L|R
AN06B005,L|R
AN06B007,L|R
AN06B009,L|R
AN06B011,L|R
AN06B012,L|R
AN06B014,L|R
AN06B023,L|R
AN06B025,L|R
AN06B026,L|R
AN06B031,L|R
AN06B034,L|R
AN06B037,L|R
AN06B039,L|R
AN06B040,L|R
AN06B042,L|R
AN06B044,L|R
AN06B045,L|R
AN06B046,L|R
AN06B048,L|R
AN06B051,L|R
AN06B057,L|R
AN06B068,L|R
AN06B075,L|R
AN06B088,L|R
AN06B089,L|R
AN06B090,L|R
AN07B003,L|R
AN07B004,L|R
AN07B005,L|R
AN07B011,L|R
AN07B013,L|R
AN07B015,L|R
AN07B017,L|R
AN07B018,L|R
AN07B021,L|R
AN07B024,L|R
AN07B025,L|R
AN07B032,L|R
AN07B035,L|R
AN07B036,L|R
AN07B037_a,L|R
AN07B037_b,L|R
AN07B040,L|R
AN07B041,L|R
AN07B042,L|R
AN07B043,L|R
AN07B045,L|R
AN07B046_a,L|R
AN07B046_b,L|R
AN07B046_c,L|R
AN07B049,L|R
AN07B050,L|R
AN07B052,L|R
AN07B056,L|R
AN07B057,L|R
AN07B060,L|R
AN07B062,L|R
AN07B063,L|R
AN07B069_a,L|R
AN07B069_b,L|R
AN07B070,L|R
AN07B071_a,L|R
AN07B071_b,L|R
AN07B071_c,L|R
AN07B071_d,L|R
AN07B072_a,L|R
AN07B072_b,L|R
AN07B072_c,L|R
AN07B072_d,L|R
AN07B072_e,L|R
AN07B072_f,L|R
AN07B076,L|R
AN07B078_a,L|R
AN07B078_b,L|R
AN07B082_a,L|R
AN07B082_b,L|R
AN07B082_c,L|R
AN07B082_d,L|R
AN07B085,L|R
AN07B089,L|R
AN07B091,L|R
AN07B100,L|R
AN07B101_a,L|R
AN07B101_b,L|R
AN07B101_c,L|R
AN07B106,L|R
AN07B110,L|R
AN08B005,L|R
AN08B007,L|R
AN08B009,L|R
AN08B010,L|R
AN08B012,L|R
AN08B013,L|R
AN08B014,L|R
AN08B015,L|R
AN08B016,L|R
AN08B018,L|R
AN08B020,L|R
AN08B022,L|R
AN08B023,L|R
AN08B024,L|R
AN08B025,L|R
AN08B026,L|R
AN08B027,L|R
AN08B028,L|R
AN08B031,L|R
AN08B032,L|R
AN08B034,L|R
AN08B041,L|R
AN08B043,L|R
AN08B047,L|R
AN08B048,L|R
AN08B049,L|R
AN08B050,L|R
AN08B053,L|R
AN08B057,L|R
AN08B059,L|R
AN08B061,L|R
AN08B066,L|R
AN08B069,L|R
AN08B074,L|R
AN08B079_a,L|R
AN08B079_b,L|R
